date,open,high,low,close,adjusted_close,volume,warning,timestamp
2025-02-03,908.29,916.41,908.29,916.27,916.27,60952744,,2025-02-03 00:00:00+00:00
2025-02-04,916.38,920.17,910.59,919.47,919.47,48023657,,2025-02-04 00:00:00+00:00
2025-02-05,915.3,919.45,914.78,919.45,919.45,46181011,,2025-02-05 00:00:00+00:00
2025-02-06,922.53,926.09,920.22,925.13,925.13,73620008,,2025-02-06 00:00:00+00:00
2025-02-07,925.42,927.41,921.89,924.1,924.1,54363470,,2025-02-07 00:00:00+00:00
2025-02-10,926.38,933.35,925.87,931.73,931.73,44762697,,2025-02-10 00:00:00+00:00
2025-02-11,933.38,940.06,932.85,938.92,938.92,51405660,,2025-02-11 00:00:00+00:00
2025-02-12,939.05,942.93,936.66,942.61,942.61,73762964,,2025-02-12 00:00:00+00:00
2025-02-13,944.35,946.58,937.13,946.58,946.58,69087986,,2025-02-13 00:00:00+00:00
2025-02-14,948.35,950.59,945.05,946.61,946.61,63672521,,2025-02-14 00:00:00+00:00
2025-02-17,945.66,948.91,945.21,948.54,948.54,42134656,,2025-02-17 00:00:00+00:00
2025-02-18,950.26,952.45,947.06,947.06,947.06,50620046,,2025-02-18 00:00:00+00:00
2025-02-19,946.91,947.88,937.83,942.28,942.28,64759461,,2025-02-19 00:00:00+00:00
2025-02-20,939.25,942.29,936.75,938.58,938.58,77962469,,2025-02-20 00:00:00+00:00
2025-02-21,938.79,940.17,934.51,937.58,937.58,66269218,,2025-02-21 00:00:00+00:00
2025-02-24,932.94,934.64,928.58,934.42,934.42,54336070,,2025-02-24 00:00:00+00:00
2025-02-25,926.43,932.68,926.43,929.78,929.78,62458752,,2025-02-25 00:00:00+00:00
2025-02-26,931.98,932.89,927.23,932.09,932.09,57556851,,2025-02-26 00:00:00+00:00
2025-02-27,926.09,927.5,921.67,925.91,925.91,48719129,,2025-02-27 00:00:00+00:00
2025-02-28,915.95,923.29,914.8,921.92,921.92,90725219,,2025-02-28 00:00:00+00:00
2025-03-03,924.82,933.21,921.2,930.41,930.41,66989516,,2025-03-03 00:00:00+00:00
2025-03-04,921.64,923.0,913.0,914.05,914.05,79715843,,2025-03-04 00:00:00+00:00
2025-03-05,920.26,922.8,909.51,909.51,909.51,78666700,,2025-03-05 00:00:00+00:00
2025-03-06,916.04,916.37,903.34,910.72,910.72,82060621,,2025-03-06 00:00:00+00:00
2025-03-07,909.34,915.47,907.11,911.34,911.34,71560160,,2025-03-07 00:00:00+00:00
2025-03-10,914.4,914.78,900.69,902.54,902.54,78354174,,2025-03-10 00:00:00+00:00
2025-03-11,903.7,903.93,887.38,889.69,889.69,71969568,,2025-03-11 00:00:00+00:00
2025-03-12,894.36,902.74,891.49,899.24,899.24,63705724,,2025-03-12 00:00:00+00:00
2025-03-13,895.63,903.59,895.23,897.97,897.97,57571044,,2025-03-13 00:00:00+00:00
2025-03-14,898.01,907.23,897.4,905.63,905.63,63076129,,2025-03-14 00:00:00+00:00
2025-03-17,905.03,914.59,904.4,913.95,913.95,52978841,,2025-03-17 00:00:00+00:00
2025-03-18,916.79,919.42,912.05,913.97,913.97,61146713,,2025-03-18 00:00:00+00:00
2025-03-19,913.65,923.5,913.38,922.75,922.75,57032738,,2025-03-19 00:00:00+00:00
2025-03-20,922.15,926.18,917.73,919.26,919.26,59607973,,2025-03-20 00:00:00+00:00
2025-03-21,917.4,917.4,910.06,914.83,914.83,156700388,,2025-03-21 00:00:00+00:00
2025-03-24,920.95,921.57,913.53,915.67,915.67,45591571,,2025-03-24 00:00:00+00:00
2025-03-25,916.97,925.68,916.93,921.0,921.0,56793785,,2025-03-25 00:00:00+00:00
2025-03-26,923.58,924.12,916.82,917.09,917.09,49164529,,2025-03-26 00:00:00+00:00
2025-03-27,914.91,917.19,911.48,914.68,914.68,52971251,,2025-03-27 00:00:00+00:00
2025-03-28,909.26,915.59,905.05,907.46,907.46,57074695,,2025-03-28 00:00:00+00:00
2025-03-31,899.8,901.34,894.35,898.8,898.8,68681346,,2025-03-31 00:00:00+00:00
2025-04-01,904.16,907.72,898.5,905.24,905.24,52737452,,2025-04-01 00:00:00+00:00
2025-04-02,901.85,905.2,897.66,901.52,901.52,44946970,,2025-04-02 00:00:00+00:00
2025-04-03,884.17,889.84,875.01,877.42,877.42,82641935,,2025-04-03 00:00:00+00:00
2025-04-04,871.73,874.6,832.53,841.29,841.29,123699707,,2025-04-04 00:00:00+00:00
2025-04-07,792.54,840.2,784.66,801.26,801.26,146182495,,2025-04-07 00:00:00+00:00
2025-04-08,813.25,832.51,809.97,823.89,823.89,92623155,,2025-04-08 00:00:00+00:00
2025-04-09,797.62,810.08,789.23,796.45,796.45,95349664,,2025-04-09 00:00:00+00:00
2025-04-10,849.12,856.53,819.24,819.24,819.24,93645324,,2025-04-10 00:00:00+00:00
2025-04-11,826.24,827.79,810.94,819.56,819.56,76091701,,2025-04-11 00:00:00+00:00
2025-04-14,837.16,844.06,834.31,839.29,839.29,60152767,,2025-04-14 00:00:00+00:00
2025-04-15,847.27,857.57,846.63,857.12,857.12,60249001,,2025-04-15 00:00:00+00:00
2025-04-16,844.84,854.19,843.53,853.56,853.56,55894952,,2025-04-16 00:00:00+00:00
2025-04-17,851.16,854.05,847.22,852.2,852.2,51288629,,2025-04-17 00:00:00+00:00
2025-04-22,849.9,857.38,847.81,857.21,857.21,52713273,,2025-04-22 00:00:00+00:00
2025-04-23,869.7,876.92,868.08,869.67,869.67,81908606,,2025-04-23 00:00:00+00:00
2025-04-24,866.16,872.48,864.37,871.99,871.99,53864982,,2025-04-24 00:00:00+00:00
2025-04-25,874.6,875.74,868.67,872.84,872.84,52976096,,2025-04-25 00:00:00+00:00
2025-04-28,876.22,877.35,872.64,872.69,872.69,50881301,,2025-04-28 00:00:00+00:00
2025-04-29,874.98,876.59,871.16,874.74,874.74,46304707,,2025-04-29 00:00:00+00:00
2025-04-30,877.19,878.63,868.2,877.89,877.89,77263535,,2025-04-30 00:00:00+00:00
2025-05-02,887.75,899.16,887.12,897.63,897.63,71306483,,2025-05-02 00:00:00+00:00
2025-05-05,896.32,897.53,893.94,896.44,896.44,39028511,,2025-05-05 00:00:00+00:00
2025-05-06,898.94,899.12,890.92,895.58,895.58,46163822,,2025-05-06 00:00:00+00:00
2025-05-07,894.31,898.55,892.93,896.02,896.02,52918037,,2025-05-07 00:00:00+00:00
2025-05-08,903.36,907.95,899.53,901.9,901.9,52607461,,2025-05-08 00:00:00+00:00
2025-05-09,905.76,907.69,903.02,905.74,905.74,45929837,,2025-05-09 00:00:00+00:00
2025-05-12,917.67,924.07,916.73,922.08,922.08,78554285,,2025-05-12 00:00:00+00:00
2025-05-13,922.42,928.08,919.15,927.46,927.46,55386521,,2025-05-13 00:00:00+00:00
2025-05-14,928.05,931.7,925.15,929.24,929.24,65440788,,2025-05-14 00:00:00+00:00
2025-05-15,922.21,929.06,921.18,929.0,929.0,53262564,,2025-05-15 00:00:00+00:00
2025-05-16,929.91,934.55,928.33,930.9,930.9,69401637,,2025-05-16 00:00:00+00:00
2025-05-19,927.56,929.52,922.64,929.52,929.52,48029311,,2025-05-19 00:00:00+00:00
2025-05-20,931.73,933.46,928.92,931.05,931.05,48180033,,2025-05-20 00:00:00+00:00
2025-05-21,928.92,933.36,927.16,933.32,933.32,47938006,,2025-05-21 00:00:00+00:00
2025-05-22,926.99,928.49,920.52,926.91,926.91,41911047,,2025-05-22 00:00:00+00:00
2025-05-23,927.38,928.83,908.12,917.39,917.39,57715702,,2025-05-23 00:00:00+00:00
2025-05-26,926.31,928.61,924.54,924.88,924.88,25054337,,2025-05-26 00:00:00+00:00
2025-05-27,925.89,933.96,925.89,930.06,930.06,36608132,,2025-05-27 00:00:00+00:00
2025-05-28,928.96,930.58,923.31,924.41,924.41,37469201,,2025-05-28 00:00:00+00:00
2025-05-29,933.19,934.56,921.87,924.22,924.22,34996601,,2025-05-29 00:00:00+00:00
2025-05-30,923.78,928.79,922.51,922.93,922.93,116175779,,2025-05-30 00:00:00+00:00
2025-06-02,917.28,920.86,913.19,918.36,918.36,44981582,,2025-06-02 00:00:00+00:00
2025-06-03,919.05,921.17,912.91,920.3,920.3,48030559,,2025-06-03 00:00:00+00:00
2025-06-04,923.13,927.29,920.93,924.01,924.01,45827723,,2025-06-04 00:00:00+00:00
2025-06-05,924.19,928.26,919.62,925.53,925.53,45985643,,2025-06-05 00:00:00+00:00
2025-06-06,924.4,930.22,923.58,929.93,929.93,38620717,,2025-06-06 00:00:00+00:00
2025-06-09,927.74,932.86,926.39,932.11,932.11,31139138,,2025-06-09 00:00:00+00:00
2025-06-10,931.68,939.85,931.14,938.63,938.63,46426686,,2025-06-10 00:00:00+00:00
2025-06-11,938.93,940.4,935.5,935.5,935.5,50833224,,2025-06-11 00:00:00+00:00
2025-06-12,933.65,934.72,928.35,930.48,930.48,49924222,,2025-06-12 00:00:00+00:00
2025-06-13,922.72,927.06,920.27,922.62,922.62,58420768,,2025-06-13 00:00:00+00:00
2025-06-16,924.02,926.11,921.57,924.93,924.93,49421553,,2025-06-16 00:00:00+00:00
2025-06-17,919.01,922.39,916.63,920.63,920.63,48178759,,2025-06-17 00:00:00+00:00
2025-06-18,920.71,921.7,915.77,917.1,917.1,48896534,,2025-06-18 00:00:00+00:00
2025-06-19,913.02,914.89,909.3,909.3,909.3,44946088,,2025-06-19 00:00:00+00:00
2025-06-20,912.62,917.54,906.58,908.52,908.52,115740674,,2025-06-20 00:00:00+00:00
2025-06-23,907.5,918.41,907.5,916.79,916.79,44342368,,2025-06-23 00:00:00+00:00
2025-06-24,927.43,927.7,922.49,924.62,924.62,57369933,,2025-06-24 00:00:00+00:00
2025-06-25,926.89,929.91,917.45,917.86,917.86,45346837,,2025-06-25 00:00:00+00:00
2025-06-26,918.14,918.54,909.17,910.69,910.69,42442925,,2025-06-26 00:00:00+00:00
2025-06-27,916.69,920.29,915.14,920.14,920.14,53250336,,2025-06-27 00:00:00+00:00
2025-06-30,921.05,921.09,913.28,913.28,913.28,55072039,,2025-06-30 00:00:00+00:00
2025-07-01,914.8,914.8,905.4,909.19,909.19,43097075,,2025-07-01 00:00:00+00:00
2025-07-02,912.55,912.89,902.19,910.52,910.52,48956379,,2025-07-02 00:00:00+00:00
2025-07-03,913.14,915.29,907.93,915.29,915.29,46406779,,2025-07-03 00:00:00+00:00
2025-07-04,911.7,911.7,907.0,908.44,908.44,30544422,,2025-07-04 00:00:00+00:00
2025-07-07,907.21,915.15,904.74,913.98,913.98,42156253,,2025-07-07 00:00:00+00:00
2025-07-08,914.0,917.57,909.61,916.76,916.76,51162481,,2025-07-08 00:00:00+00:00
2025-07-09,917.5,920.37,915.04,918.77,918.77,46677992,,2025-07-09 00:00:00+00:00
2025-07-10,922.03,927.7,922.03,927.32,927.32,45829985,,2025-07-10 00:00:00+00:00
2025-07-11,926.11,926.17,920.11,921.49,921.49,43403380,,2025-07-11 00:00:00+00:00
2025-07-14,918.08,920.5,916.24,920.5,920.5,35748399,,2025-07-14 00:00:00+00:00
2025-07-15,924.95,927.29,922.44,923.29,923.29,37923135,,2025-07-15 00:00:00+00:00
2025-07-16,916.0,916.0,902.11,902.11,902.11,43385212,,2025-07-16 00:00:00+00:00
2025-07-17,912.16,915.13,908.11,914.47,914.47,43427546,,2025-07-17 00:00:00+00:00
2025-07-18,916.79,918.96,911.5,911.85,911.85,42182174,,2025-07-18 00:00:00+00:00
2025-07-21,912.39,912.39,905.96,908.42,908.42,31644123,,2025-07-21 00:00:00+00:00
2025-07-22,903.69,905.61,900.89,901.19,901.19,39814706,,2025-07-22 00:00:00+00:00
2025-07-23,908.66,912.7,907.07,908.15,908.15,58560775,,2025-07-23 00:00:00+00:00
2025-07-24,913.17,915.86,910.46,913.35,913.35,50183587,,2025-07-24 00:00:00+00:00
2025-07-25,910.69,910.95,903.64,905.37,905.37,41388963,,2025-07-25 00:00:00+00:00
2025-07-28,913.95,915.3,906.04,908.04,908.04,45272638,,2025-07-28 00:00:00+00:00
2025-07-29,911.01,914.8,909.44,909.99,909.99,47496014,,2025-07-29 00:00:00+00:00
2025-07-30,910.89,912.59,908.46,909.41,909.41,40040698,,2025-07-30 00:00:00+00:00
2025-07-31,913.15,916.46,901.95,902.06,902.06,53675509,,2025-07-31 00:00:00+00:00
2025-08-01,896.17,897.11,882.59,884.87,884.87,58653680,,2025-08-01 00:00:00+00:00
2025-08-04,888.05,890.45,884.91,888.75,888.75,45358516,,2025-08-04 00:00:00+00:00
2025-08-05,891.79,891.8,885.98,887.07,887.07,44336359,,2025-08-05 00:00:00+00:00
2025-08-06,890.13,890.65,882.42,883.93,883.93,49955735,,2025-08-06 00:00:00+00:00
2025-08-07,885.58,895.89,885.27,892.51,892.51,48579579,,2025-08-07 00:00:00+00:00
2025-08-08,892.39,893.59,888.8,891.36,891.36,42254895,,2025-08-08 00:00:00+00:00
2025-08-11,894.98,895.66,891.76,894.13,894.13,31925412,,2025-08-11 00:00:00+00:00
2025-08-12,895.69,896.34,890.98,895.11,895.11,32135544,,2025-08-12 00:00:00+00:00
2025-08-13,898.27,901.89,897.44,900.11,900.11,41168309,,2025-08-13 00:00:00+00:00
2025-08-14,900.45,900.88,890.88,898.34,898.34,36549990,,2025-08-14 00:00:00+00:00
2025-08-15,899.75,900.11,892.34,895.77,895.77,40414785,,2025-08-15 00:00:00+00:00
2025-08-18,896.41,896.95,891.77,896.95,896.95,29388751,,2025-08-18 00:00:00+00:00
2025-08-19,898.86,903.5,896.9,901.95,901.95,30755272,,2025-08-19 00:00:00+00:00
2025-08-20,900.76,910.46,900.23,908.79,908.79,34822726,,2025-08-20 00:00:00+00:00
2025-08-21,908.86,909.08,905.13,907.53,907.53,42510431,,2025-08-21 00:00:00+00:00
2025-08-22,906.43,916.29,906.14,912.92,912.92,30812943,,2025-08-22 00:00:00+00:00
2025-08-25,912.54,913.42,910.46,911.11,911.11,24562989,,2025-08-25 00:00:00+00:00
2025-08-26,908.13,910.39,904.91,904.91,904.91,78903217,,2025-08-26 00:00:00+00:00
2025-08-27,906.66,909.05,903.51,907.7,907.7,35621392,,2025-08-27 00:00:00+00:00
2025-08-28,908.92,908.93,901.07,903.46,903.46,33904167,,2025-08-28 00:00:00+00:00
2025-08-29,902.17,903.85,896.62,896.62,896.62,39322134,,2025-08-29 00:00:00+00:00
2025-09-01,896.49,898.5,894.82,896.26,896.26,23394639,,2025-09-01 00:00:00+00:00
2025-09-02,894.41,894.41,883.89,883.89,883.89,41586274,,2025-09-02 00:00:00+00:00
2025-09-03,889.57,892.16,886.6,888.27,888.27,44943364,,2025-09-03 00:00:00+00:00
2025-09-04,889.85,901.12,889.85,900.19,900.19,45933442,,2025-09-04 00:00:00+00:00
2025-09-05,905.2,905.64,896.27,898.68,898.68,47578834,,2025-09-05 00:00:00+00:00
2025-09-08,901.88,905.68,899.78,904.68,904.68,37988998,,2025-09-08 00:00:00+00:00
2025-09-09,906.28,909.62,904.75,907.69,907.69,43508745,,2025-09-09 00:00:00+00:00
2025-09-10,910.19,911.77,900.78,901.51,901.51,47480752,,2025-09-10 00:00:00+00:00
2025-09-11,902.69,907.25,900.97,905.73,905.73,43282442,,2025-09-11 00:00:00+00:00
2025-09-12,907.83,913.63,906.64,908.89,908.89,40673241,,2025-09-12 00:00:00+00:00
2025-09-15,911.37,919.78,910.46,919.13,919.13,43973172,,2025-09-15 00:00:00+00:00
2025-09-16,922.66,922.66,911.52,911.52,911.52,48327571,,2025-09-16 00:00:00+00:00
2025-09-17,913.75,916.07,910.93,914.81,914.81,45666816,,2025-09-17 00:00:00+00:00
2025-09-18,919.36,934.99,919.36,933.3,933.3,51586408,,2025-09-18 00:00:00+00:00
2025-09-19,930.16,934.06,927.4,929.94,929.94,92810503,,2025-09-19 00:00:00+00:00
2025-09-22,932.68,934.92,929.27,930.62,930.62,44427690,,2025-09-22 00:00:00+00:00
2025-09-23,928.3,938.94,927.6,934.66,934.66,46110185,,2025-09-23 00:00:00+00:00
2025-09-24,933.79,937.16,931.69,935.4,935.4,49679600,,2025-09-24 00:00:00+00:00
2025-09-25,934.15,937.93,931.33,934.36,934.36,49371523,,2025-09-25 00:00:00+00:00
2025-09-26,936.86,939.04,933.33,938.35,938.35,42616936,,2025-09-26 00:00:00+00:00
2025-09-29,940.46,943.4,938.56,941.73,941.73,43749876,,2025-09-29 00:00:00+00:00
2025-09-30,939.28,943.45,937.07,942.78,942.78,58123594,,2025-09-30 00:00:00+00:00
2025-10-01,939.2,949.11,936.8,948.18,948.18,50153359,,2025-10-01 00:00:00+00:00
2025-10-02,955.37,963.46,955.37,958.94,958.94,47068561,,2025-10-02 00:00:00+00:00
2025-10-03,960.35,961.92,958.75,961.51,961.51,46532094,,2025-10-03 00:00:00+00:00
2025-10-06,963.45,968.73,961.67,966.94,966.94,55827649,,2025-10-06 00:00:00+00:00
2025-10-07,967.4,968.62,959.92,960.71,960.71,52142038,,2025-10-07 00:00:00+00:00
2025-10-08,954.33,961.53,954.33,960.62,960.62,44913282,,2025-10-08 00:00:00+00:00
2025-10-09,960.92,964.49,957.46,958.4,958.4,46340006,,2025-10-09 00:00:00+00:00
2025-10-10,956.55,958.66,940.14,940.46,940.46,59827018,,2025-10-10 00:00:00+00:00
2025-10-13,947.6,952.46,946.05,951.83,951.83,37606876,,2025-10-13 00:00:00+00:00
2025-10-14,945.88,949.69,941.76,949.42,949.42,48365430,,2025-10-14 00:00:00+00:00
2025-10-15,956.82,957.67,951.61,955.21,955.21,47494862,,2025-10-15 00:00:00+00:00
2025-10-16,956.87,960.99,953.63,959.0,959.0,44683218,,2025-10-16 00:00:00+00:00
2025-10-17,945.29,959.72,941.88,955.86,955.86,63562006,,2025-10-17 00:00:00+00:00
2025-10-20,960.76,967.41,959.09,966.42,966.42,40885531,,2025-10-20 00:00:00+00:00
2025-10-21,966.02,967.87,963.77,966.58,966.58,39694513,,2025-10-21 00:00:00+00:00
2025-10-22,963.73,971.24,962.05,966.0,966.0,47852059,,2025-10-22 00:00:00+00:00
2025-10-23,971.21,974.97,967.5,973.92,973.92,43289323,,2025-10-23 00:00:00+00:00
2025-10-24,976.58,979.11,975.24,978.97,978.97,37359563,,2025-10-24 00:00:00+00:00
2025-10-27,984.04,985.97,980.38,982.0,982.0,42054101,,2025-10-27 00:00:00+00:00
2025-10-28,979.43,980.17,973.06,974.6,974.6,44496704,,2025-10-28 00:00:00+00:00
2025-10-29,973.78,982.72,973.77,975.35,975.35,43227235,,2025-10-29 00:00:00+00:00
2025-10-30,977.7,981.97,973.89,981.61,981.61,54165413,,2025-10-30 00:00:00+00:00
2025-10-31,979.02,979.57,970.87,971.46,971.46,48510341,,2025-10-31 00:00:00+00:00
2025-11-03,971.89,976.64,970.06,970.97,970.97,39034184,,2025-11-03 00:00:00+00:00
2025-11-04,962.75,970.28,955.23,969.2,969.2,44694730,,2025-11-04 00:00:00+00:00
2025-11-05,961.82,973.58,961.19,970.89,970.89,46159766,,2025-11-05 00:00:00+00:00
2025-11-06,968.77,970.41,959.42,961.06,961.06,50536020,,2025-11-06 00:00:00+00:00
2025-11-07,963.81,963.81,950.65,950.77,950.77,47391270,,2025-11-07 00:00:00+00:00
2025-11-10,964.38,966.05,959.26,961.08,961.08,43382318,,2025-11-10 00:00:00+00:00
2025-11-11,965.01,971.82,963.06,970.59,970.59,38252577,,2025-11-11 00:00:00+00:00
2025-11-12,971.24,972.46,967.62,968.51,968.51,45396241,,2025-11-12 00:00:00+00:00
2025-11-13,969.59,974.29,960.47,961.51,961.51,49834836,,2025-11-13 00:00:00+00:00
2025-11-14,952.35,952.58,939.96,951.92,951.92,44617180,,2025-11-14 00:00:00+00:00
2025-11-17,952.18,952.84,943.04,945.37,945.37,36878684,,2025-11-17 00:00:00+00:00
2025-11-18,935.16,935.93,927.09,930.88,930.88,53044587,,2025-11-18 00:00:00+00:00
2025-11-19,931.12,939.77,928.0,933.34,933.34,49623340,,2025-11-19 00:00:00+00:00
2025-11-20,944.34,945.45,934.93,934.93,934.93,46933459,,2025-11-20 00:00:00+00:00
2025-11-21,919.19,927.95,916.79,926.69,926.69,61277091,,2025-11-21 00:00:00+00:00
2025-11-24,932.02,932.33,923.56,926.92,926.92,100549256,,2025-11-24 00:00:00+00:00
2025-11-25,930.17,934.37,924.2,932.76,932.76,53901122,,2025-11-25 00:00:00+00:00
2025-11-26,936.69,943.98,932.51,943.68,943.68,46706761,,2025-11-26 00:00:00+00:00
