date,open,high,low,close,adjusted_close,volume,warning,timestamp
2025-02-03,77063.9375,77260.3672,76756.0938,77186.7422,77186.7422,11400,,2025-02-03 00:00:00+00:00
2025-02-04,77687.6016,78658.5938,77402.3672,78583.8125,78583.8125,11800,,2025-02-04 00:00:00+00:00
2025-02-05,78704.6016,78735.4063,78216.25,78271.2813,78271.2813,8000,,2025-02-05 00:00:00+00:00
2025-02-06,78513.3594,78551.6563,77843.9922,78058.1563,78058.1563,8000,,2025-02-06 00:00:00+00:00
2025-02-07,78119.6016,78356.9766,77475.7422,77860.1875,77860.1875,10900,,2025-02-07 00:00:00+00:00
2025-02-10,77789.2969,77849.5781,77106.8906,77311.7969,77311.7969,7000,,2025-02-10 00:00:00+00:00
2025-02-11,77384.9766,77387.2813,76030.5938,76293.6016,76293.6016,9800,,2025-02-11 00:00:00+00:00
2025-02-12,76188.2422,76459.7188,75388.3906,76171.0781,76171.0781,10400,,2025-02-12 00:00:00+00:00
2025-02-13,76201.1016,76764.5313,76013.4297,76138.9688,76138.9688,6900,,2025-02-13 00:00:00+00:00
2025-02-14,76388.9922,76483.0625,75439.6406,75939.2109,75939.2109,9300,,2025-02-14 00:00:00+00:00
2025-02-17,75641.4063,76041.9609,75294.7578,75996.8594,75996.8594,8100,,2025-02-17 00:00:00+00:00
2025-02-18,76073.7109,76091.6875,75531.0078,75967.3906,75967.3906,8600,,2025-02-18 00:00:00+00:00
2025-02-19,75787.2734,76338.5781,75581.3828,75939.1797,75939.1797,5100,,2025-02-19 00:00:00+00:00
2025-02-20,75672.8438,75794.1484,75463.0078,75735.9609,75735.9609,6900,,2025-02-20 00:00:00+00:00
2025-02-21,75612.6094,75748.7188,75112.4063,75311.0625,75311.0625,12700,,2025-02-21 00:00:00+00:00
2025-02-24,74893.4531,74907.0391,74387.4375,74454.4063,74454.4063,6400,,2025-02-24 00:00:00+00:00
2025-02-25,74440.2969,74785.0781,74400.3672,74602.1172,74602.1172,10700,,2025-02-25 00:00:00+00:00
2025-02-27,74706.6016,74834.0938,74520.7813,74612.4297,74612.4297,6700,,2025-02-27 00:00:00+00:00
2025-02-28,74201.7734,74282.4297,73141.2734,73198.1016,73198.1016,9100,,2025-02-28 00:00:00+00:00
2025-03-03,73427.6484,73649.7188,72784.5391,73085.9375,73085.9375,10100,,2025-03-03 00:00:00+00:00
2025-03-04,72817.3438,73033.1797,72633.5391,72989.9297,72989.9297,6200,,2025-03-04 00:00:00+00:00
2025-03-05,73005.3672,73933.7969,72894.0469,73730.2266,73730.2266,9300,,2025-03-05 00:00:00+00:00
2025-03-06,74308.2969,74390.7969,73415.6797,74340.0938,74340.0938,10100,,2025-03-06 00:00:00+00:00
2025-03-07,74347.1406,74586.4297,74038.0313,74332.5781,74332.5781,6900,,2025-03-07 00:00:00+00:00
2025-03-10,74474.9766,74741.25,74022.2422,74115.1719,74115.1719,6600,,2025-03-10 00:00:00+00:00
2025-03-11,73743.8828,74195.1719,73663.6016,74102.3203,74102.3203,11700,,2025-03-11 00:00:00+00:00
2025-03-12,74270.8125,74392.1484,73598.1563,74029.7578,74029.7578,13800,,2025-03-12 00:00:00+00:00
2025-03-13,74392.5391,74401.1094,73770.5938,73828.9063,73828.9063,9900,,2025-03-13 00:00:00+00:00
2025-03-17,73830.0313,74376.3516,73796.0625,74169.9531,74169.9531,7400,,2025-03-17 00:00:00+00:00
2025-03-18,74608.6563,75385.7578,74480.1484,75301.2578,75301.2578,14500,,2025-03-18 00:00:00+00:00
2025-03-19,75473.1719,75568.3828,75201.4766,75449.0469,75449.0469,12200,,2025-03-19 00:00:00+00:00
2025-03-20,75917.1094,76456.25,75684.5781,76348.0625,76348.0625,9100,,2025-03-20 00:00:00+00:00
2025-03-21,76155.0,77041.9375,76095.2578,76905.5078,76905.5078,8500,,2025-03-21 00:00:00+00:00
2025-03-24,77456.2734,78107.2266,77179.3516,77984.3828,77984.3828,10100,,2025-03-24 00:00:00+00:00
2025-03-25,78296.2813,78741.6875,77745.6328,78017.1875,78017.1875,12700,,2025-03-25 00:00:00+00:00
2025-03-26,78021.4531,78167.8672,77194.2188,77288.5,77288.5,10500,,2025-03-26 00:00:00+00:00
2025-03-27,77087.3906,77747.4609,77082.5078,77606.4297,77606.4297,12700,,2025-03-27 00:00:00+00:00
2025-03-28,77690.6875,77766.7031,77185.6172,77414.9219,77414.9219,16700,,2025-03-28 00:00:00+00:00
2025-04-01,76882.5781,77487.0469,75912.1797,76024.5078,76024.5078,10600,,2025-04-01 00:00:00+00:00
2025-04-02,76146.2813,76680.3516,76064.9375,76617.4375,76617.4375,10800,,2025-04-02 00:00:00+00:00
2025-04-03,75811.8594,76493.7422,75807.5469,76295.3594,76295.3594,6900,,2025-04-03 00:00:00+00:00
2025-04-04,76160.0938,76258.1172,75240.5469,75364.6875,75364.6875,11700,,2025-04-04 00:00:00+00:00
2025-04-07,71449.9375,73403.9922,71425.0078,73137.8984,73137.8984,29400,,2025-04-07 00:00:00+00:00
2025-04-08,74013.7266,74859.3906,73424.9219,74227.0781,74227.0781,17100,,2025-04-08 00:00:00+00:00
2025-04-09,74103.8281,74103.8281,73673.0625,73847.1484,73847.1484,9100,,2025-04-09 00:00:00+00:00
2025-04-11,74835.4922,75467.3281,74762.8438,75157.2578,75157.2578,14200,,2025-04-11 00:00:00+00:00
2025-04-15,76852.0625,76907.6328,76435.0703,76734.8906,76734.8906,12900,,2025-04-15 00:00:00+00:00
2025-04-16,76996.7813,77110.2266,76543.7734,77044.2891,77044.2891,9500,,2025-04-16 00:00:00+00:00
2025-04-17,76968.0234,78616.7734,76665.7734,78553.2031,78553.2031,11100,,2025-04-17 00:00:00+00:00
2025-04-21,78903.0938,79635.0469,78776.0625,79408.5,79408.5,12600,,2025-04-21 00:00:00+00:00
2025-04-22,79728.3906,79824.2969,79253.4375,79595.5938,79595.5938,14800,,2025-04-22 00:00:00+00:00
2025-04-23,80142.0938,80254.5469,79506.8984,80116.4922,80116.4922,12000,,2025-04-23 00:00:00+00:00
2025-04-24,80058.4297,80173.9219,79724.5469,79801.4297,79801.4297,8200,,2025-04-24 00:00:00+00:00
2025-04-25,79830.1484,80130.6563,78605.8125,79212.5313,79212.5313,13200,,2025-04-25 00:00:00+00:00
2025-04-28,79343.6328,80321.8828,79341.3516,80218.3672,80218.3672,8500,,2025-04-28 00:00:00+00:00
2025-04-29,80396.9219,80661.3125,80122.0234,80288.3828,80288.3828,16200,,2025-04-29 00:00:00+00:00
2025-04-30,80370.7969,80525.6094,79879.1484,80242.2422,80242.2422,12200,,2025-04-30 00:00:00+00:00
2025-05-02,80300.1875,81177.9297,80168.5938,80501.9922,80501.9922,12700,,2025-05-02 00:00:00+00:00
2025-05-05,80661.6172,81049.0313,80657.7109,80796.8438,80796.8438,8800,,2025-05-05 00:00:00+00:00
2025-05-06,80907.2422,80981.5781,80481.0313,80641.0703,80641.0703,12500,,2025-05-06 00:00:00+00:00
2025-05-07,79948.7969,80844.6328,79937.4766,80746.7813,80746.7813,8800,,2025-05-07 00:00:00+00:00
2025-05-08,80912.3438,80927.9922,79987.6094,80334.8125,80334.8125,10600,,2025-05-08 00:00:00+00:00
2025-05-09,78968.3438,80032.9297,78968.3438,79454.4688,79454.4688,8800,,2025-05-09 00:00:00+00:00
