date,open,high,low,close,adjusted_close,volume,warning,timestamp
2025-02-03,7786.3198,7875.5801,7785.8701,7854.9199,7854.9199,85149300,,2025-02-03 00:00:00+00:00
2025-02-04,7870.29,7915.5298,7808.1099,7906.3999,7906.3999,83795000,,2025-02-04 00:00:00+00:00
2025-02-05,7888.6001,7900.71,7858.2202,7891.6802,7891.6802,63874400,,2025-02-05 00:00:00+00:00
2025-02-06,7918.3599,8024.8799,7906.3599,8007.6201,8007.6201,104325900,,2025-02-06 00:00:00+00:00
2025-02-07,7998.3799,8027.0498,7954.8999,7973.0298,7973.0298,86935500,,2025-02-07 00:00:00+00:00
2025-02-10,7977.7598,8014.1299,7971.1499,8006.2202,8006.2202,69365400,,2025-02-10 00:00:00+00:00
2025-02-11,8013.0098,8037.2402,7995.6499,8028.8999,8028.8999,63982300,,2025-02-11 00:00:00+00:00
2025-02-12,8039.6099,8067.0698,7984.7202,8042.1899,8042.1899,83614200,,2025-02-12 00:00:00+00:00
2025-02-13,8120.8101,8176.1201,8091.4199,8164.1099,8164.1099,100733100,,2025-02-13 00:00:00+00:00
2025-02-14,8164.6201,8212.6396,8155.4502,8178.54,8178.54,84064800,,2025-02-14 00:00:00+00:00
2025-02-17,8181.3999,8199.04,8165.8999,8189.1299,8189.1299,57770100,,2025-02-17 00:00:00+00:00
2025-02-18,8205.9404,8225.1299,8160.6099,8206.5596,8206.5596,71132800,,2025-02-18 00:00:00+00:00
2025-02-19,8205.4404,8208.6699,8097.1401,8110.54,8110.54,76876600,,2025-02-19 00:00:00+00:00
2025-02-20,8140.7798,8172.7598,8107.3101,8122.5801,8122.5801,80101800,,2025-02-20 00:00:00+00:00
2025-02-21,8138.2402,8180.7202,8126.8701,8154.5098,8154.5098,85167900,,2025-02-21 00:00:00+00:00
2025-02-24,8138.8599,8150.6401,8064.6699,8090.9902,8090.9902,70669300,,2025-02-24 00:00:00+00:00
2025-02-25,8065.3599,8107.1099,8043.1299,8051.0698,8051.0698,84120800,,2025-02-25 00:00:00+00:00
2025-02-26,8103.73,8169.3501,8084.0498,8143.9199,8143.9199,89949900,,2025-02-26 00:00:00+00:00
2025-02-27,8104.23,8136.8599,8048.27,8102.52,8102.52,93870400,,2025-02-27 00:00:00+00:00
2025-02-28,8047.04,8111.6299,8031.48,8111.6299,8111.6299,132221800,,2025-02-28 00:00:00+00:00
2025-03-03,8139.1299,8257.8799,8087.3101,8199.71,8199.71,91389800,,2025-03-03 00:00:00+00:00
2025-03-04,8112.1299,8136.27,8001.1499,8047.9199,8047.9199,109307000,,2025-03-04 00:00:00+00:00
2025-03-05,8174.0801,8245.2402,8151.4702,8173.75,8173.75,114727300,,2025-03-05 00:00:00+00:00
2025-03-06,8226.1904,8229.4404,8103.54,8197.6699,8197.6699,111802200,,2025-03-06 00:00:00+00:00
2025-03-07,8163.2998,8177.8501,8066.1499,8120.7998,8120.7998,103415600,,2025-03-07 00:00:00+00:00
2025-03-10,8161.5298,8174.5898,8039.3599,8047.6001,8047.6001,104956400,,2025-03-10 00:00:00+00:00
2025-03-11,8092.02,8111.2202,7921.0498,7941.9102,7941.9102,102843400,,2025-03-11 00:00:00+00:00
2025-03-12,8006.04,8072.4502,7938.8501,7988.96,7988.96,89409700,,2025-03-12 00:00:00+00:00
2025-03-13,7983.5698,8032.6499,7927.8301,7938.21,7938.21,82347100,,2025-03-13 00:00:00+00:00
2025-03-14,7924.2202,8044.4399,7916.5801,8028.2798,8028.2798,80007200,,2025-03-14 00:00:00+00:00
2025-03-17,8034.23,8087.6001,8010.71,8073.98,8073.98,68242800,,2025-03-17 00:00:00+00:00
2025-03-18,8100.8901,8140.0898,8090.6299,8114.5698,8114.5698,78614400,,2025-03-18 00:00:00+00:00
2025-03-19,8104.6602,8181.8501,8096.5,8171.4702,8171.4702,67187300,,2025-03-19 00:00:00+00:00
2025-03-20,8164.0898,8167.48,8062.1401,8094.2002,8094.2002,71330200,,2025-03-20 00:00:00+00:00
2025-03-21,8062.27,8075.4399,8010.2598,8042.9502,8042.9502,145105800,,2025-03-21 00:00:00+00:00
2025-03-24,8104.71,8114.4502,8002.3398,8022.3301,8022.3301,61431800,,2025-03-24 00:00:00+00:00
2025-03-25,8042.73,8142.5098,8042.73,8108.5898,8108.5898,66802100,,2025-03-25 00:00:00+00:00
2025-03-26,8121.9902,8127.9102,8025.21,8030.6802,8030.6802,68178000,,2025-03-26 00:00:00+00:00
2025-03-27,7968.7998,8015.8901,7926.9302,7990.1099,7990.1099,71336700,,2025-03-27 00:00:00+00:00
2025-03-28,7949.23,7975.5498,7894.6201,7916.0801,7916.0801,74145700,,2025-03-28 00:00:00+00:00
2025-03-31,7849.3198,7853.21,7753.7402,7790.71,7790.71,93214500,,2025-03-31 00:00:00+00:00
2025-04-01,7837.4502,7884.3501,7814.73,7876.3599,7876.3599,73679000,,2025-04-01 00:00:00+00:00
2025-04-02,7850.8799,7859.4102,7792.98,7858.8301,7858.8301,66242600,,2025-04-02 00:00:00+00:00
2025-04-03,7689.6099,7740.9102,7585.0,7598.98,7598.98,115848900,,2025-04-03 00:00:00+00:00
2025-04-04,7546.4302,7552.52,7215.7598,7274.9502,7274.9502,177451600,,2025-04-04 00:00:00+00:00
2025-04-07,6804.8398,7285.73,6763.7598,6927.1201,6927.1201,197563800,,2025-04-07 00:00:00+00:00
2025-04-08,7036.1699,7179.4902,6952.1201,7100.4199,7100.4199,118583500,,2025-04-08 00:00:00+00:00
2025-04-09,6902.4199,6999.3501,6792.5698,6863.02,6863.02,122317100,,2025-04-09 00:00:00+00:00
2025-04-10,7296.5,7384.4702,7126.02,7126.02,7126.02,125588200,,2025-04-10 00:00:00+00:00
2025-04-11,7191.48,7204.6001,7007.6299,7104.7998,7104.7998,89406900,,2025-04-11 00:00:00+00:00
2025-04-14,7238.0098,7308.7598,7222.8599,7273.1201,7273.1201,77135600,,2025-04-14 00:00:00+00:00
2025-04-15,7255.0601,7344.2002,7239.73,7335.3999,7335.3999,76652500,,2025-04-15 00:00:00+00:00
2025-04-16,7276.3901,7332.1401,7243.77,7329.9702,7329.9702,69618700,,2025-04-16 00:00:00+00:00
2025-04-17,7311.9102,7331.6401,7257.77,7285.8599,7285.8599,60437800,,2025-04-17 00:00:00+00:00
