date,open,high,low,close,adjusted_close,volume,warning,timestamp
2025-02-03,20048.87,20222.0,19764.67,20217.26,20217.26,2224419940,,2025-02-03 00:00:00+00:00
2025-02-04,20488.29,20885.49,20297.64,20789.96,20789.96,2854047416,,2025-02-04 00:00:00+00:00
2025-02-05,20827.77,20827.77,20417.39,20597.09,20597.09,2967877099,,2025-02-05 00:00:00+00:00
2025-02-06,20598.98,20891.62,20532.06,20891.62,20891.62,2957434753,,2025-02-06 00:00:00+00:00
2025-02-07,20858.52,21213.7,20806.1,21133.54,21133.54,4125560676,,2025-02-07 00:00:00+00:00
2025-02-10,21223.61,21539.63,21223.61,21521.98,21521.98,3736110678,,2025-02-10 00:00:00+00:00
2025-02-11,21656.82,21682.41,21279.37,21294.86,21294.86,3583384363,,2025-02-11 00:00:00+00:00
2025-02-12,21526.41,21858.83,21411.09,21857.92,21857.92,4872965880,,2025-02-12 00:00:00+00:00
2025-02-13,21958.69,22523.57,21735.56,21814.37,21814.37,6487223577,,2025-02-13 00:00:00+00:00
2025-02-14,22027.07,22620.33,22027.07,22620.33,22620.33,6056957153,,2025-02-14 00:00:00+00:00
2025-02-17,22755.06,22977.25,22319.32,22616.23,22616.23,6736174929,,2025-02-17 00:00:00+00:00
2025-02-18,22664.73,23141.41,22608.18,22976.81,22976.81,5222617515,,2025-02-18 00:00:00+00:00
2025-02-19,22777.46,22975.34,22649.49,22944.24,22944.24,4080380785,,2025-02-19 00:00:00+00:00
2025-02-20,22716.71,22849.66,22436.13,22576.98,22576.98,4200436892,,2025-02-20 00:00:00+00:00
2025-02-21,23090.03,23477.92,22901.69,23477.92,23477.92,6167286427,,2025-02-21 00:00:00+00:00
2025-02-24,23472.14,23688.45,23221.57,23341.61,23341.61,5264639339,,2025-02-24 00:00:00+00:00
2025-02-25,22716.48,23248.52,22716.48,23034.02,23034.02,4449761400,,2025-02-25 00:00:00+00:00
2025-02-26,23238.34,23973.17,23238.34,23787.93,23787.93,5138075387,,2025-02-26 00:00:00+00:00
2025-02-27,23783.75,24076.53,23441.74,23718.29,23718.29,6256972936,,2025-02-27 00:00:00+00:00
2025-02-28,23616.18,23616.18,22798.34,22941.32,22941.32,6578327970,,2025-02-28 00:00:00+00:00
2025-03-03,23135.12,23405.98,22861.75,23006.27,23006.27,4338235946,,2025-03-03 00:00:00+00:00
2025-03-04,22678.25,23051.01,22547.53,22941.77,22941.77,3994826338,,2025-03-04 00:00:00+00:00
2025-03-05,23200.42,23636.65,23090.63,23594.21,23594.21,4077656046,,2025-03-05 00:00:00+00:00
2025-03-06,23987.09,24410.93,23987.09,24369.71,24369.71,4886267551,,2025-03-06 00:00:00+00:00
2025-03-07,24182.02,24669.62,24065.01,24231.3,24231.3,4830822699,,2025-03-07 00:00:00+00:00
2025-03-10,24115.98,24292.8,23632.42,23783.49,23783.49,3684249616,,2025-03-10 00:00:00+00:00
2025-03-11,23274.86,23858.61,23238.36,23782.14,23782.14,3554137489,,2025-03-11 00:00:00+00:00
2025-03-12,23859.23,23962.03,23363.98,23600.31,23600.31,3632712894,,2025-03-12 00:00:00+00:00
2025-03-13,23616.33,23712.61,23198.73,23462.65,23462.65,3231281249,,2025-03-13 00:00:00+00:00
2025-03-14,23653.33,24113.53,23454.49,23959.98,23959.98,4260065487,,2025-03-14 00:00:00+00:00
2025-03-17,24226.0,24352.47,24077.15,24145.57,24145.57,3284154396,,2025-03-17 00:00:00+00:00
2025-03-18,24679.35,24745.13,24475.26,24740.57,24740.57,3930667150,,2025-03-18 00:00:00+00:00
2025-03-19,24697.63,24874.39,24601.73,24771.14,24771.14,3593000989,,2025-03-19 00:00:00+00:00
2025-03-20,24753.15,24753.15,24186.69,24219.95,24219.95,4102246792,,2025-03-20 00:00:00+00:00
2025-03-21,24109.07,24230.72,23577.78,23689.72,23689.72,4931006607,,2025-03-21 00:00:00+00:00
2025-03-24,23749.58,23967.51,23531.2,23905.56,23905.56,3386124311,,2025-03-24 00:00:00+00:00
2025-03-25,23643.32,23747.32,23321.67,23344.25,23344.25,4234395000,,2025-03-25 00:00:00+00:00
2025-03-26,23460.31,23596.85,23350.73,23483.32,23483.32,3116620177,,2025-03-26 00:00:00+00:00
2025-03-27,23543.86,23865.62,23372.36,23578.8,23578.8,3790121920,,2025-03-27 00:00:00+00:00
2025-03-28,23672.82,23775.3,23254.3,23426.6,23426.6,3540792640,,2025-03-28 00:00:00+00:00
2025-03-31,23207.07,23399.73,23002.81,23119.58,23119.58,4752815958,,2025-03-31 00:00:00+00:00
2025-04-01,23217.11,23456.58,23123.35,23206.84,23206.84,3979666548,,2025-04-01 00:00:00+00:00
2025-04-02,23167.31,23393.03,22980.96,23202.53,23202.53,3573452326,,2025-04-02 00:00:00+00:00
2025-04-03,22638.21,22998.3,22638.21,22849.81,22849.81,4249906647,,2025-04-03 00:00:00+00:00
2025-04-07,20730.05,21047.83,19706.03,19828.3,19828.3,12686536120,,2025-04-07 00:00:00+00:00
2025-04-08,20157.52,20454.26,19745.14,20127.68,20127.68,8420728911,,2025-04-08 00:00:00+00:00
2025-04-09,19494.92,20441.14,19260.21,20264.49,20264.49,8672350327,,2025-04-09 00:00:00+00:00
2025-04-10,20810.43,21211.13,20530.43,20681.78,20681.78,6611812404,,2025-04-10 00:00:00+00:00
2025-04-11,20557.49,21127.37,20444.04,20914.69,20914.69,5139238172,,2025-04-11 00:00:00+00:00
2025-04-14,21363.88,21517.32,21224.55,21417.4,21417.4,4538263870,,2025-04-14 00:00:00+00:00
2025-04-15,21603.52,21603.52,21297.59,21466.27,21466.27,2942774480,,2025-04-15 00:00:00+00:00
2025-04-16,21316.47,21363.57,20868.36,21056.98,21056.98,3441790279,,2025-04-16 00:00:00+00:00
2025-04-17,21066.81,21417.64,21039.16,21395.14,21395.14,2892828471,,2025-04-17 00:00:00+00:00
2025-04-22,21303.51,21592.67,21191.02,21562.32,21562.32,3883646515,,2025-04-22 00:00:00+00:00
2025-04-23,22080.19,22138.81,21862.87,22072.62,22072.62,3585310800,,2025-04-23 00:00:00+00:00
2025-04-24,22030.15,22093.68,21712.1,21909.76,21909.76,2985810921,,2025-04-24 00:00:00+00:00
2025-04-25,22080.44,22267.96,21923.9,21980.74,21980.74,3025705709,,2025-04-25 00:00:00+00:00
2025-04-28,22072.35,22072.35,21817.85,21971.96,21971.96,2465991596,,2025-04-28 00:00:00+00:00
2025-04-29,22073.36,22213.51,21918.1,22008.11,22008.11,3045158196,,2025-04-29 00:00:00+00:00
2025-04-30,22038.73,22129.31,21848.33,22119.41,22119.41,4682250634,,2025-04-30 00:00:00+00:00
2025-05-02,22192.5098,22532.5391,22058.3008,22504.6797,22504.6797,1831000000,,2025-05-02 00:00:00+00:00
2025-05-06,22576.5605,22747.6309,22449.1602,22662.7109,22662.7109,3317400000,,2025-05-06 00:00:00+00:00
2025-05-07,23169.8301,23197.5703,22691.8809,22691.8809,22691.8809,3694100000,,2025-05-07 00:00:00+00:00
2025-05-08,22589.1309,22979.2891,22589.1309,22775.9199,22775.9199,2773700000,,2025-05-08 00:00:00+00:00
2025-05-09,22856.2109,22907.9102,22692.4395,22867.7402,22867.7402,2635900000,,2025-05-09 00:00:00+00:00
2025-05-12,23183.8105,23685.3398,22982.9102,23549.4609,23549.4609,5161400000,,2025-05-12 00:00:00+00:00
2025-05-13,23494.4395,23494.4395,23070.4805,23108.2695,23108.2695,3475900000,,2025-05-13 00:00:00+00:00
2025-05-14,23316.4492,23640.6504,23278.2207,23640.6504,23640.6504,3742900000,,2025-05-14 00:00:00+00:00
2025-05-15,23644.4004,23710.8203,23371.7305,23453.1602,23453.1602,2887600000,,2025-05-15 00:00:00+00:00
2025-05-16,23249.1602,23374.6992,23190.3105,23345.0508,23345.0508,2759500000,,2025-05-16 00:00:00+00:00
2025-05-19,23156.2695,23402.1992,23059.8906,23332.7207,23332.7207,2814000000,,2025-05-19 00:00:00+00:00
2025-05-20,23398.3496,23709.0391,23357.0,23681.4805,23681.4805,3290600000,,2025-05-20 00:00:00+00:00
2025-05-21,23736.4297,23917.0,23697.7598,23827.7793,23827.7793,3463700000,,2025-05-21 00:00:00+00:00
2025-05-22,23748.5801,23778.2402,23470.8105,23544.3105,23544.3105,3397700000,,2025-05-22 00:00:00+00:00
2025-05-23,23557.3809,23749.3809,23487.4004,23601.2598,23601.2598,3348700000,,2025-05-23 00:00:00+00:00
2025-05-26,23505.9004,23571.0195,23234.2695,23282.3301,23282.3301,3381800000,,2025-05-26 00:00:00+00:00
2025-05-27,23216.8691,23419.5508,23167.5605,23381.9902,23381.9902,3081400000,,2025-05-27 00:00:00+00:00
2025-05-28,23385.1797,23476.2207,23180.1699,23258.3105,23258.3105,2874700000,,2025-05-28 00:00:00+00:00
2025-05-29,23240.7109,23603.8203,23207.3691,23573.3809,23573.3809,3711300000,,2025-05-29 00:00:00+00:00
2025-05-30,23339.6406,23375.3398,23163.2207,23289.7695,23289.7695,5293500000,,2025-05-30 00:00:00+00:00
