date,open,high,low,close,adjusted_close,volume,warning,timestamp
2025-02-03,2468.74,2468.74,2437.61,2453.95,2453.95,522848000,,2025-02-03 00:00:00+00:00
2025-02-04,2481.44,2508.35,2471.63,2481.69,2481.69,479377000,,2025-02-04 00:00:00+00:00
2025-02-05,2503.94,2514.71,2498.74,2509.27,2509.27,437344000,,2025-02-05 00:00:00+00:00
2025-02-06,2521.82,2536.75,2515.34,2536.75,2536.75,479697000,,2025-02-06 00:00:00+00:00
2025-02-07,2532.09,2537.63,2519.01,2521.92,2521.92,419872000,,2025-02-07 00:00:00+00:00
2025-02-10,2510.64,2527.33,2499.18,2521.27,2521.27,393564000,,2025-02-10 00:00:00+00:00
2025-02-11,2532.87,2549.44,2527.74,2539.05,2539.05,451093000,,2025-02-11 00:00:00+00:00
2025-02-12,2534.71,2549.58,2528.74,2548.39,2548.39,464894000,,2025-02-12 00:00:00+00:00
2025-02-13,2558.95,2583.74,2555.98,2583.17,2583.17,680342000,,2025-02-13 00:00:00+00:00
2025-02-14,2588.2,2600.57,2582.84,2591.05,2591.05,499365000,,2025-02-14 00:00:00+00:00
2025-02-17,2595.99,2612.8,2592.57,2610.42,2610.42,366340000,,2025-02-17 00:00:00+00:00
2025-02-18,2613.25,2628.47,2605.15,2626.81,2626.81,421993000,,2025-02-18 00:00:00+00:00
2025-02-19,2633.91,2680.7,2633.91,2671.52,2671.52,525799000,,2025-02-19 00:00:00+00:00
2025-02-20,2661.72,2667.59,2645.53,2654.06,2654.06,529303000,,2025-02-20 00:00:00+00:00
2025-02-21,2653.76,2656.04,2638.44,2654.58,2654.58,444704000,,2025-02-21 00:00:00+00:00
2025-02-24,2636.12,2645.27,2626.88,2645.27,2645.27,536354000,,2025-02-24 00:00:00+00:00
2025-02-25,2617.64,2641.49,2617.12,2630.29,2630.29,410285000,,2025-02-25 00:00:00+00:00
2025-02-26,2629.86,2648.06,2620.16,2641.09,2641.09,386763000,,2025-02-26 00:00:00+00:00
2025-02-27,2637.63,2638.47,2610.47,2621.75,2621.75,513910000,,2025-02-27 00:00:00+00:00
2025-02-28,2585.61,2586.78,2531.24,2532.78,2532.78,588572000,,2025-02-28 00:00:00+00:00
2025-03-04,2522.2,2548.78,2513.31,2528.92,2528.92,484081000,,2025-03-04 00:00:00+00:00
2025-03-05,2548.45,2561.47,2535.18,2558.13,2558.13,569412000,,2025-03-05 00:00:00+00:00
2025-03-06,2573.55,2583.65,2565.57,2576.16,2576.16,609616000,,2025-03-06 00:00:00+00:00
2025-03-07,2553.44,2575.48,2541.49,2563.48,2563.48,567191000,,2025-03-07 00:00:00+00:00
2025-03-10,2555.4,2579.76,2549.99,2570.39,2570.39,435695000,,2025-03-10 00:00:00+00:00
2025-03-11,2516.69,2547.88,2505.91,2537.6,2537.6,399016000,,2025-03-11 00:00:00+00:00
2025-03-12,2552.6,2579.69,2541.66,2574.82,2574.82,401645000,,2025-03-12 00:00:00+00:00
2025-03-13,2598.06,2600.07,2561.02,2573.64,2573.64,427292000,,2025-03-13 00:00:00+00:00
2025-03-14,2565.18,2576.74,2559.24,2566.36,2566.36,362329000,,2025-03-14 00:00:00+00:00
2025-03-17,2588.32,2610.69,2587.52,2610.69,2610.69,396574000,,2025-03-17 00:00:00+00:00
2025-03-18,2627.27,2638.56,2606.91,2612.34,2612.34,555527000,,2025-03-18 00:00:00+00:00
2025-03-19,2613.48,2642.83,2613.48,2628.62,2628.62,653327000,,2025-03-19 00:00:00+00:00
2025-03-20,2648.16,2650.72,2629.2,2637.1,2637.1,455019000,,2025-03-20 00:00:00+00:00
2025-03-21,2633.9,2645.82,2617.78,2643.13,2643.13,497529000,,2025-03-21 00:00:00+00:00
2025-03-24,2636.43,2648.82,2629.38,2632.07,2632.07,372432000,,2025-03-24 00:00:00+00:00
2025-03-25,2653.04,2654.63,2612.74,2615.81,2615.81,439279000,,2025-03-25 00:00:00+00:00
2025-03-26,2628.09,2649.15,2618.05,2643.94,2643.94,507916000,,2025-03-26 00:00:00+00:00
2025-03-27,2620.28,2633.03,2603.41,2607.15,2607.15,403314000,,2025-03-27 00:00:00+00:00
2025-03-28,2592.63,2592.63,2549.26,2557.98,2557.98,513561000,,2025-03-28 00:00:00+00:00
2025-03-31,2513.44,2514.22,2479.46,2481.12,2481.12,391593000,,2025-03-31 00:00:00+00:00
2025-04-01,2511.24,2530.61,2494.43,2521.39,2521.39,453394000,,2025-04-01 00:00:00+00:00
2025-04-02,2525.62,2532.15,2499.83,2505.86,2505.86,515600000,,2025-04-02 00:00:00+00:00
2025-04-03,2437.43,2488.92,2437.43,2486.7,2486.7,480057000,,2025-04-03 00:00:00+00:00
2025-04-04,2450.49,2506.71,2438.02,2465.42,2465.42,695075000,,2025-04-04 00:00:00+00:00
2025-04-07,2359.25,2369.4,2327.01,2328.2,2328.2,619501000,,2025-04-07 00:00:00+00:00
2025-04-08,2381.2,2381.31,2328.94,2334.23,2334.23,557018000,,2025-04-08 00:00:00+00:00
2025-04-09,2329.99,2337.58,2284.72,2293.7,2293.7,699642000,,2025-04-09 00:00:00+00:00
2025-04-10,2395.13,2445.06,2391.39,2445.06,2445.06,670388000,,2025-04-10 00:00:00+00:00
2025-04-11,2400.74,2433.18,2394.25,2432.72,2432.72,369703000,,2025-04-11 00:00:00+00:00
2025-04-14,2454.28,2465.56,2449.48,2455.89,2455.89,488618000,,2025-04-14 00:00:00+00:00
2025-04-15,2464.51,2482.56,2461.23,2477.41,2477.41,560340000,,2025-04-15 00:00:00+00:00
2025-04-16,2472.78,2475.83,2442.72,2447.43,2447.43,613174000,,2025-04-16 00:00:00+00:00
2025-04-17,2451.7,2473.24,2447.4,2470.41,2470.41,601739000,,2025-04-17 00:00:00+00:00
2025-04-18,2473.3,2486.37,2466.9,2483.42,2483.42,450985000,,2025-04-18 00:00:00+00:00
2025-04-21,2486.38,2498.84,2479.23,2488.42,2488.42,428977000,,2025-04-21 00:00:00+00:00
2025-04-22,2481.18,2494.59,2476.14,2486.64,2486.64,416680000,,2025-04-22 00:00:00+00:00
2025-04-23,2520.56,2526.72,2507.1,2525.56,2525.56,538116000,,2025-04-23 00:00:00+00:00
2025-04-24,2525.34,2530.61,2507.21,2522.33,2522.33,327935000,,2025-04-24 00:00:00+00:00
2025-04-25,2544.59,2553.33,2534.94,2546.3,2546.3,403528000,,2025-04-25 00:00:00+00:00
2025-04-28,2551.23,2558.69,2541.97,2548.86,2548.86,454102000,,2025-04-28 00:00:00+00:00
2025-04-29,2550.25,2571.41,2542.25,2565.42,2565.42,547081000,,2025-04-29 00:00:00+00:00
2025-04-30,2561.04,2570.83,2544.46,2556.61,2556.61,487489000,,2025-04-30 00:00:00+00:00
2025-05-02,2556.52,2567.04,2540.5701,2559.79,2559.79,585500,,2025-05-02 00:00:00+00:00
2025-05-07,2577.04,2581.8501,2559.1699,2573.8,2573.8,546800,,2025-05-07 00:00:00+00:00
2025-05-08,2581.27,2590.8999,2575.78,2579.48,2579.48,471600,,2025-05-08 00:00:00+00:00
2025-05-09,2587.9299,2589.5801,2571.2,2577.27,2577.27,485600,,2025-05-09 00:00:00+00:00
2025-05-12,2593.9399,2607.3301,2585.6001,2607.3301,2607.3301,409700,,2025-05-12 00:00:00+00:00
2025-05-13,2601.76,2620.6399,2601.5801,2608.4199,2608.4199,422500,,2025-05-13 00:00:00+00:00
2025-05-14,2625.3601,2646.01,2619.1499,2640.5701,2640.5701,390500,,2025-05-14 00:00:00+00:00
2025-05-15,2634.5,2643.8301,2618.0801,2621.3601,2621.3601,339600,,2025-05-15 00:00:00+00:00
2025-05-16,2630.6399,2633.98,2619.1001,2626.8701,2626.8701,359700,,2025-05-16 00:00:00+00:00
2025-05-19,2613.7,2619.4299,2593.4399,2603.4199,2603.4199,313300,,2025-05-19 00:00:00+00:00
2025-05-20,2622.6799,2622.9099,2598.1001,2601.8,2601.8,457000,,2025-05-20 00:00:00+00:00
2025-05-21,2615.8999,2633.4099,2614.73,2625.5801,2625.5801,371500,,2025-05-21 00:00:00+00:00
2025-05-22,2614.6599,2616.53,2588.0901,2593.6699,2593.6699,358100,,2025-05-22 00:00:00+00:00
2025-05-23,2603.5701,2604.1399,2589.51,2592.0901,2592.0901,434000,,2025-05-23 00:00:00+00:00
