date,open,high,low,close,adjusted_close,volume,warning,timestamp
2025-02-03,38932.66,38948.61,38401.82,38520.09,38520.09,1692130100,,2025-02-03 00:00:00+00:00
2025-02-04,39078.66,39192.51,38590.96,38798.37,38798.37,1442785000,,2025-02-04 00:00:00+00:00
2025-02-05,38979.21,39118.95,38682.18,38831.48,38831.48,1511926800,,2025-02-05 00:00:00+00:00
2025-02-06,38977.58,39190.13,38851.51,39066.53,39066.53,1546602200,,2025-02-06 00:00:00+00:00
2025-02-07,38907.76,39007.94,38753.2,38787.02,38787.02,1486741000,,2025-02-07 00:00:00+00:00
2025-02-10,38736.37,38895.74,38606.32,38801.17,38801.17,1346079200,,2025-02-10 00:00:00+00:00
2025-02-12,39049.12,39102.65,38794.24,38963.7,38963.7,1754547800,,2025-02-12 00:00:00+00:00
2025-02-13,39225.5,39581.47,39112.17,39461.47,39461.47,1303844800,,2025-02-13 00:00:00+00:00
2025-02-14,39419.25,39543.93,39133.94,39149.43,39149.43,1329031600,,2025-02-14 00:00:00+00:00
2025-02-17,39094.09,39238.75,39021.23,39174.25,39174.25,1113069900,,2025-02-17 00:00:00+00:00
2025-02-18,39187.99,39508.55,39151.71,39270.4,39270.4,1159726300,,2025-02-18 00:00:00+00:00
2025-02-19,39230.62,39298.05,38994.7,39164.61,39164.61,1242685700,,2025-02-19 00:00:00+00:00
2025-02-20,38942.91,38967.01,38468.72,38678.04,38678.04,1252191700,,2025-02-20 00:00:00+00:00
2025-02-21,38523.07,38808.81,38456.53,38776.94,38776.94,1300544800,,2025-02-21 00:00:00+00:00
2025-02-25,38359.67,38485.95,38131.79,38237.79,38237.79,1329242800,,2025-02-25 00:00:00+00:00
2025-02-26,38143.68,38175.24,37742.76,38142.37,38142.37,1207843100,,2025-02-26 00:00:00+00:00
2025-02-27,38251.11,38369.96,38061.94,38256.17,38256.17,1215796500,,2025-02-27 00:00:00+00:00
2025-02-28,37853.48,37925.28,36840.12,37155.5,37155.5,1916186900,,2025-02-28 00:00:00+00:00
2025-03-03,37617.5,37827.62,37372.26,37785.47,37785.47,1158057200,,2025-03-03 00:00:00+00:00
2025-03-04,37532.01,37587.49,36816.16,37331.18,37331.18,1381647600,,2025-03-04 00:00:00+00:00
2025-03-05,37345.74,37606.34,37178.72,37418.24,37418.24,1309123500,,2025-03-05 00:00:00+00:00
2025-03-06,37654.95,37874.38,37580.88,37704.93,37704.93,1377165500,,2025-03-06 00:00:00+00:00
2025-03-07,37198.3,37221.65,36813.62,36887.17,36887.17,1367535600,,2025-03-07 00:00:00+00:00
2025-03-10,36972.59,37113.48,36705.02,37028.27,37028.27,1098145900,,2025-03-10 00:00:00+00:00
2025-03-11,36584.37,36793.11,35987.13,36793.11,36793.11,1536228200,,2025-03-11 00:00:00+00:00
2025-03-12,36763.1,36956.33,36658.86,36819.09,36819.09,1287271600,,2025-03-12 00:00:00+00:00
2025-03-13,37081.64,37326.27,36776.94,36790.03,36790.03,1193134700,,2025-03-13 00:00:00+00:00
2025-03-14,36606.78,37154.39,36594.04,37053.1,37053.1,1348314900,,2025-03-14 00:00:00+00:00
2025-03-17,37453.83,37563.27,37377.55,37396.52,37396.52,1203058100,,2025-03-17 00:00:00+00:00
2025-03-18,37868.57,38004.2,37822.87,37845.42,37845.42,1334831600,,2025-03-18 00:00:00+00:00
2025-03-19,37839.39,38128.58,37751.88,37751.88,37751.88,1168393000,,2025-03-19 00:00:00+00:00
2025-03-21,37619.37,37968.02,37619.37,37677.06,37677.06,1817732700,,2025-03-21 00:00:00+00:00
2025-03-24,37841.68,37841.68,37608.49,37608.49,37608.49,1016128000,,2025-03-24 00:00:00+00:00
2025-03-25,37953.15,38115.65,37686.26,37780.54,37780.54,1072510900,,2025-03-25 00:00:00+00:00
2025-03-26,38106.66,38220.69,37873.28,38027.29,38027.29,1170653500,,2025-03-26 00:00:00+00:00
2025-03-27,37750.66,37859.06,37556.75,37799.97,37799.97,1399585300,,2025-03-27 00:00:00+00:00
