date,open,high,low,close,adjusted_close,volume,warning,timestamp
2025-02-05,3270.1604,3271.022,3220.2794,3229.4876,3229.4876,40638818100,,2025-02-05 00:00:00+00:00
2025-02-06,3226.575,3271.4271,3225.8459,3270.6594,3270.6594,46084273000,,2025-02-06 00:00:00+00:00
2025-02-07,3269.2269,3324.428,3262.5085,3303.6666,3303.6666,60055845100,,2025-02-07 00:00:00+00:00
2025-02-10,3308.04,3325.3558,3299.2429,3322.1698,3322.1698,54658974900,,2025-02-10 00:00:00+00:00
2025-02-11,3323.6694,3324.1727,3304.4443,3318.0569,3318.0569,51194354100,,2025-02-11 00:00:00+00:00
2025-02-12,3312.2572,3346.3854,3310.3904,3346.3854,3346.3854,51343782800,,2025-02-12 00:00:00+00:00
2025-02-13,3343.2347,3359.1807,3332.4826,3332.4826,3332.4826,56863116100,,2025-02-13 00:00:00+00:00
2025-02-14,3328.483,3349.0836,3322.5289,3346.7242,3346.7242,53233296500,,2025-02-14 00:00:00+00:00
2025-02-17,3355.4171,3357.1212,3333.1948,3355.8296,3355.8296,58954656900,,2025-02-17 00:00:00+00:00
2025-02-18,3348.9827,3366.0119,3314.3006,3324.4906,3324.4906,56267924000,,2025-02-18 00:00:00+00:00
2025-02-19,3320.7801,3352.0867,3320.5809,3351.5392,3351.5392,50291296500,,2025-02-19 00:00:00+00:00
2025-02-20,3347.5893,3355.5571,3338.0335,3350.7833,3350.7833,50435711400,,2025-02-20 00:00:00+00:00
2025-02-21,3356.6947,3381.0575,3339.0256,3379.1128,3379.1128,60819020600,,2025-02-21 00:00:00+00:00
2025-02-24,3374.0813,3384.8106,3355.8694,3373.0276,3373.0276,59818820300,,2025-02-24 00:00:00+00:00
2025-02-25,3345.6534,3369.5583,3337.8448,3346.0398,3346.0398,52757856200,,2025-02-25 00:00:00+00:00
2025-02-26,3351.2093,3380.2144,3351.2093,3380.2144,3380.2144,55399203100,,2025-02-26 00:00:00+00:00
2025-02-27,3378.4494,3388.7808,3353.5712,3388.0622,3388.0622,57581502000,,2025-02-27 00:00:00+00:00
2025-02-28,3374.6636,3383.1909,3318.7162,3320.8973,3320.8973,56831950400,,2025-02-28 00:00:00+00:00
2025-03-03,3328.3955,3349.0169,3304.5931,3316.9253,3316.9253,50241786200,,2025-03-03 00:00:00+00:00
2025-03-04,3300.498,3327.8242,3297.5304,3324.2099,3324.2099,42999611100,,2025-03-04 00:00:00+00:00
2025-03-05,3324.6962,3342.7143,3314.1478,3341.9649,3341.9649,46095269600,,2025-03-05 00:00:00+00:00
2025-03-06,3353.5703,3387.0538,3348.684,3381.0983,3381.0983,53999270900,,2025-03-06 00:00:00+00:00
2025-03-07,3373.1808,3390.9442,3363.9288,3372.5458,3372.5458,51766355100,,2025-03-07 00:00:00+00:00
2025-03-10,3373.2588,3375.7978,3347.1859,3366.163,3366.163,45038083200,,2025-03-10 00:00:00+00:00
2025-03-11,3335.4394,3379.8287,3334.8313,3379.8284,3379.8284,44846832300,,2025-03-11 00:00:00+00:00
2025-03-12,3385.6853,3392.4086,3370.2204,3371.9235,3371.9235,50219510000,,2025-03-12 00:00:00+00:00
2025-03-13,3371.0945,3377.1183,3341.1182,3358.7285,3358.7285,51901347900,,2025-03-13 00:00:00+00:00
2025-03-14,3361.6861,3421.2333,3360.6063,3419.5616,3419.5616,58266338800,,2025-03-14 00:00:00+00:00
2025-03-17,3430.8093,3436.3516,3422.4618,3426.1285,3426.1285,51568513800,,2025-03-17 00:00:00+00:00
2025-03-18,3434.5653,3437.0654,3423.3005,3429.7593,3429.7593,45491606300,,2025-03-18 00:00:00+00:00
2025-03-19,3424.1726,3439.0463,3414.5933,3426.4291,3426.4291,44031629900,,2025-03-19 00:00:00+00:00
2025-03-20,3425.2157,3427.0454,3404.662,3408.9482,3408.9482,45163068200,,2025-03-20 00:00:00+00:00
2025-03-21,3401.7593,3414.7094,3355.8396,3364.8307,3364.8307,52086263000,,2025-03-21 00:00:00+00:00
2025-03-24,3364.8342,3373.6936,3340.2383,3370.0283,3370.0283,51331026000,,2025-03-24 00:00:00+00:00
2025-03-25,3370.0008,3379.9884,3361.0462,3369.9763,3369.9763,45635739300,,2025-03-25 00:00:00+00:00
2025-03-26,3365.6658,3382.3424,3365.6658,3368.6973,3368.6973,42853377000,,2025-03-26 00:00:00+00:00
2025-03-27,3362.7123,3394.0349,3351.1739,3373.7489,3373.7489,41477631400,,2025-03-27 00:00:00+00:00
2025-03-28,3372.0388,3375.0528,3346.0807,3351.3068,3351.3068,41228428900,,2025-03-28 00:00:00+00:00
2025-03-31,3343.3442,3361.7415,3317.7381,3335.7462,3335.7462,47257197800,,2025-03-31 00:00:00+00:00
2025-04-01,3340.7121,3357.6215,3338.7788,3348.4351,3348.4351,42258867000,,2025-04-01 00:00:00+00:00
2025-04-02,3344.1711,3361.134,3343.1155,3350.1266,3350.1266,35012736400,,2025-04-02 00:00:00+00:00
2025-04-03,3319.6057,3358.4256,3319.6057,3342.0077,3342.0077,40051782700,,2025-04-03 00:00:00+00:00
2025-04-07,3193.1024,3217.7818,3040.6932,3096.5762,3096.5762,66219958400,,2025-04-07 00:00:00+00:00
2025-04-08,3094.2619,3145.5491,3085.1229,3145.5491,3145.5491,66224238700,,2025-04-08 00:00:00+00:00
2025-04-09,3110.0101,3186.8099,3070.0778,3186.8099,3186.8099,68479717400,,2025-04-09 00:00:00+00:00
2025-04-10,3227.8362,3239.9409,3201.5713,3223.6379,3223.6379,59120828416,,2025-04-10 00:00:00+00:00
2025-04-11,3219.5054,3249.8535,3211.3496,3238.2268,3238.2268,47553179648,,2025-04-11 00:00:00+00:00
2025-04-14,3251.9778,3272.7202,3244.7327,3262.8076,3262.8076,47137320960,,2025-04-14 00:00:00+00:00
2025-04-15,3260.6851,3268.9849,3246.3369,3267.6624,3267.6624,39666290688,,2025-04-15 00:00:00+00:00
2025-04-16,3267.665,3276.0044,3233.791,3276.0039,3276.0039,42953486336,,2025-04-16 00:00:00+00:00
2025-04-17,3261.7178,3285.9153,3258.145,3280.3413,3280.3413,38201270272,,2025-04-17 00:00:00+00:00
2025-04-18,3270.3535,3283.0896,3262.3916,3276.7305,3276.7305,35883618304,,2025-04-18 00:00:00+00:00
2025-04-21,3273.1382,3298.6399,3270.0132,3291.4341,3291.4341,37930758144,,2025-04-21 00:00:00+00:00
2025-04-22,3289.1665,3311.1528,3288.3315,3299.7571,3299.7571,40316760064,,2025-04-22 00:00:00+00:00
2025-04-23,3308.1514,3312.1924,3293.0632,3296.3552,3296.3552,41163321344,,2025-04-23 00:00:00+00:00
2025-04-24,3295.1487,3313.5088,3286.2363,3297.2881,3297.2881,39284473856,,2025-04-24 00:00:00+00:00
2025-04-25,3300.3916,3305.2617,3288.7544,3295.0601,3295.0601,41104318464,,2025-04-25 00:00:00+00:00
2025-04-28,3292.0559,3296.9319,3279.8772,3288.4148,3288.4148,41066586112,,2025-04-28 00:00:00+00:00
2025-04-29,3281.4453,3294.9814,3277.6272,3286.6548,3286.6548,38896168960,,2025-04-29 00:00:00+00:00
2025-04-30,3284.0813,3292.2002,3277.5498,3279.0315,3279.0315,43579432960,,2025-04-30 00:00:00+00:00
2025-05-06,3295.2505,3316.4475,3286.9885,3316.1135,3316.1135,47436959744,,2025-05-06 00:00:00+00:00
2025-05-07,3354.9736,3356.6885,3324.8088,3342.665,3342.665,51115962368,,2025-05-07 00:00:00+00:00
2025-05-08,3331.2051,3359.731,3327.9023,3351.9958,3351.9958,42837778432,,2025-05-08 00:00:00+00:00
2025-05-09,3350.405,3351.2197,3335.127,3341.9988,3341.9988,39890919424,,2025-05-09 00:00:00+00:00
2025-05-12,3352.9697,3372.4724,3344.2688,3369.2444,3369.2444,41823989760,,2025-05-12 00:00:00+00:00
2025-05-13,3386.2344,3386.2344,3370.2517,3374.8706,3374.8706,42624069632,,2025-05-13 00:00:00+00:00
2025-05-14,3374.2354,3417.3142,3368.0781,3403.948,3403.948,46493446144,,2025-05-14 00:00:00+00:00
2025-05-15,3398.4272,3402.8655,3378.0208,3380.8213,3380.8213,42410090496,,2025-05-15 00:00:00+00:00
2025-05-16,3374.7061,3380.29,3356.6609,3367.4619,3367.4619,39540101120,,2025-05-16 00:00:00+00:00
2025-05-19,3365.8823,3373.5994,3356.6482,3367.583,3367.583,40307478528,,2025-05-19 00:00:00+00:00
2025-05-20,3371.6887,3387.804,3369.9629,3380.478,3380.478,40554455040,,2025-05-20 00:00:00+00:00
2025-05-21,3380.2095,3394.7542,3380.2095,3387.5735,3387.5735,41249615872,,2025-05-21 00:00:00+00:00
2025-05-22,3381.865,3390.5925,3376.2332,3380.1885,3380.1885,39421722624,,2025-05-22 00:00:00+00:00
2025-05-23,3376.8691,3389.4685,3348.3716,3348.3716,3348.3716,40022700032,,2025-05-23 00:00:00+00:00
2025-05-26,3346.561,3362.3069,3336.3552,3346.8389,3346.8389,34756210688,,2025-05-26 00:00:00+00:00
2025-05-27,3346.5029,3351.5718,3332.4895,3340.687,3340.687,34407116800,,2025-05-27 00:00:00+00:00
2025-05-28,3341.8518,3348.2339,3336.7273,3339.9319,3339.9319,34155544576,,2025-05-28 00:00:00+00:00
2025-05-29,3340.4011,3368.6333,3337.415,3363.4456,3363.4456,39323381760,,2025-05-29 00:00:00+00:00
2025-05-30,3358.8093,3361.2751,3341.6484,3347.4873,3347.4873,38560215040,,2025-05-30 00:00:00+00:00
2025-06-03,3340.0667,3366.9973,3340.0667,3361.9756,3361.9756,39806078976,,2025-06-03 00:00:00+00:00
2025-06-04,3363.3911,3379.6401,3363.3911,3376.2029,3376.2029,38649462784,,2025-06-04 00:00:00+00:00
2025-06-05,3378.2168,3387.7644,3371.1458,3384.0984,3384.0984,40625209344,,2025-06-05 00:00:00+00:00
2025-06-06,3384.2949,3391.4509,3379.7642,3385.3579,3385.3579,38012289024,,2025-06-06 00:00:00+00:00
2025-06-09,3388.7783,3402.0503,3383.0742,3399.7715,3399.7715,42734792704,,2025-06-09 00:00:00+00:00
2025-06-10,3402.0129,3406.4514,3365.6675,3384.8164,3384.8164,48161857536,,2025-06-10 00:00:00+00:00
2025-06-11,3385.4568,3413.5132,3385.4568,3402.3159,3402.3159,42409029632,,2025-06-11 00:00:00+00:00
2025-06-12,3397.9719,3408.2048,3388.8657,3402.658,3402.658,40949059584,,2025-06-12 00:00:00+00:00
