date,open,high,low,close,adjusted_close,volume,warning,timestamp
2025-02-03,5228.61,5228.67,5174.01,5217.91,5217.91,310399680,,2025-02-03 00:00:00+00:00
2025-02-04,5226.16,5267.59,5191.62,5264.59,5264.59,278646550,,2025-02-04 00:00:00+00:00
2025-02-05,5262.0,5271.12,5242.88,5271.12,5271.12,202170580,,2025-02-05 00:00:00+00:00
2025-02-06,5279.38,5363.14,5279.38,5356.63,5356.63,357287170,,2025-02-06 00:00:00+00:00
2025-02-07,5348.37,5358.66,5317.17,5325.4,5325.4,257211880,,2025-02-07 00:00:00+00:00
2025-02-10,5328.54,5365.03,5328.54,5358.3,5358.3,205028310,,2025-02-10 00:00:00+00:00
2025-02-11,5360.01,5394.86,5356.23,5390.91,5390.91,256959820,,2025-02-11 00:00:00+00:00
2025-02-12,5399.9,5414.14,5366.0,5405.65,5405.65,298503320,,2025-02-12 00:00:00+00:00
2025-02-13,5424.38,5502.11,5424.38,5500.5,5500.5,259674810,,2025-02-13 00:00:00+00:00
2025-02-14,5496.67,5520.58,5483.2,5493.4,5493.4,250716280,,2025-02-14 00:00:00+00:00
2025-02-17,5496.87,5524.27,5489.81,5519.83,5519.83,169249920,,2025-02-17 00:00:00+00:00
2025-02-18,5531.53,5544.12,5506.57,5533.84,5533.84,217293570,,2025-02-18 00:00:00+00:00
2025-02-19,5530.54,5539.97,5453.51,5461.17,5461.17,235848190,,2025-02-19 00:00:00+00:00
2025-02-20,5458.08,5500.15,5454.8,5461.03,5461.03,187555290,,2025-02-20 00:00:00+00:00
2025-02-21,5469.23,5489.92,5454.58,5474.85,5474.85,250293010,,2025-02-21 00:00:00+00:00
2025-02-24,5478.39,5483.18,5422.86,5453.76,5453.76,192337520,,2025-02-24 00:00:00+00:00
2025-02-25,5431.44,5477.21,5424.87,5447.9,5447.9,297973900,,2025-02-25 00:00:00+00:00
2025-02-26,5459.87,5533.95,5459.87,5527.99,5527.99,312167860,,2025-02-26 00:00:00+00:00
2025-02-27,5515.04,5515.04,5437.38,5472.56,5472.56,276522770,,2025-02-27 00:00:00+00:00
2025-02-28,5455.96,5463.54,5411.54,5463.54,5463.54,458161950,,2025-02-28 00:00:00+00:00
2025-03-03,5469.1,5568.19,5434.62,5540.69,5540.69,272931900,,2025-03-03 00:00:00+00:00
2025-03-04,5511.65,5511.65,5370.75,5387.31,5387.31,404450190,,2025-03-04 00:00:00+00:00
2025-03-05,5409.93,5533.18,5409.93,5489.12,5489.12,380748480,,2025-03-05 00:00:00+00:00
2025-03-06,5507.88,5541.41,5452.35,5520.47,5520.47,358045410,,2025-03-06 00:00:00+00:00
2025-03-07,5503.96,5503.96,5434.86,5468.41,5468.41,313609880,,2025-03-07 00:00:00+00:00
2025-03-10,5480.17,5494.13,5375.15,5386.98,5386.98,308067770,,2025-03-10 00:00:00+00:00
2025-03-11,5400.1,5426.63,5294.37,5309.9,5309.9,341097660,,2025-03-11 00:00:00+00:00
2025-03-12,5330.03,5406.67,5320.05,5359.42,5359.42,229346660,,2025-03-12 00:00:00+00:00
2025-03-13,5349.66,5385.86,5314.73,5328.39,5328.39,216308400,,2025-03-13 00:00:00+00:00
2025-03-14,5327.83,5412.43,5312.75,5404.18,5404.18,284082260,,2025-03-14 00:00:00+00:00
2025-03-17,5400.82,5446.86,5386.99,5445.55,5445.55,221805660,,2025-03-17 00:00:00+00:00
2025-03-18,5454.2,5501.41,5454.2,5485.01,5485.01,256931370,,2025-03-18 00:00:00+00:00
2025-03-19,5482.95,5515.05,5460.94,5507.36,5507.36,256133650,,2025-03-19 00:00:00+00:00
2025-03-20,5506.82,5515.38,5431.99,5450.93,5450.93,287003590,,2025-03-20 00:00:00+00:00
2025-03-21,5435.76,5436.46,5393.3,5423.83,5423.83,597186480,,2025-03-21 00:00:00+00:00
2025-03-24,5441.6,5470.23,5402.34,5415.79,5415.79,259255230,,2025-03-24 00:00:00+00:00
2025-03-25,5422.47,5496.73,5422.47,5475.08,5475.08,240917160,,2025-03-25 00:00:00+00:00
2025-03-26,5479.68,5491.24,5407.52,5411.69,5411.69,208560950,,2025-03-26 00:00:00+00:00
2025-03-27,5393.32,5399.57,5338.62,5381.08,5381.08,293759280,,2025-03-27 00:00:00+00:00
2025-03-28,5368.9,5374.8,5314.54,5331.4,5331.4,278816050,,2025-03-28 00:00:00+00:00
2025-03-31,5312.17,5312.17,5218.48,5248.39,5248.39,343348390,,2025-03-31 00:00:00+00:00
2025-04-01,5270.25,5328.91,5270.25,5320.3,5320.3,226133140,,2025-04-01 00:00:00+00:00
2025-04-02,5312.56,5312.56,5255.95,5303.95,5303.95,213537620,,2025-04-02 00:00:00+00:00
2025-04-03,5255.11,5255.11,5104.35,5113.28,5113.28,399968070,,2025-04-03 00:00:00+00:00
2025-04-04,5094.79,5094.79,4825.7,4878.31,4878.31,719801350,,2025-04-04 00:00:00+00:00
2025-04-07,4861.16,4902.99,4540.22,4656.41,4656.41,763885070,,2025-04-07 00:00:00+00:00
2025-04-08,4700.37,4826.68,4669.95,4773.65,4773.65,434346580,,2025-04-08 00:00:00+00:00
2025-04-09,4705.91,4708.14,4569.51,4622.14,4622.14,448879940,,2025-04-09 00:00:00+00:00
2025-04-10,4631.37,4987.62,4631.37,4818.92,4818.92,457077370,,2025-04-10 00:00:00+00:00
2025-04-11,4841.64,4870.97,4728.53,4787.23,4787.23,297583160,,2025-04-11 00:00:00+00:00
2025-04-14,4828.56,4936.12,4828.56,4911.39,4911.39,276622640,,2025-04-14 00:00:00+00:00
2025-04-15,4915.47,4977.49,4913.73,4970.43,4970.43,323965960,,2025-04-15 00:00:00+00:00
2025-04-16,4956.15,4967.09,4891.11,4966.5,4966.5,253681510,,2025-04-16 00:00:00+00:00
2025-04-17,4966.76,4970.68,4922.2,4935.34,4935.34,234549290,,2025-04-17 00:00:00+00:00
2025-04-22,4919.76,4961.45,4894.3,4961.45,4961.45,244786840,,2025-04-22 00:00:00+00:00
2025-04-23,4972.51,5123.64,4972.51,5098.74,5098.74,353018650,,2025-04-23 00:00:00+00:00
2025-04-24,5080.59,5116.33,5043.45,5114.98,5114.98,262166400,,2025-04-24 00:00:00+00:00
2025-04-25,5121.35,5167.18,5121.35,5154.12,5154.12,208575410,,2025-04-25 00:00:00+00:00
2025-04-28,5163.23,5199.3,5163.23,5170.49,5170.49,188887120,,2025-04-28 00:00:00+00:00
2025-04-29,5176.0298,5191.6802,5138.71,5161.8999,5161.8999,23777600,,2025-04-29 00:00:00+00:00
2025-04-30,5162.9502,5185.2998,5105.7998,5160.2202,5160.2202,34443300,,2025-04-30 00:00:00+00:00
2025-05-01,5160.22,5160.22,5160.22,5160.22,5160.22,344432630,,2025-05-01 00:00:00+00:00
2025-05-02,5201.1001,5285.1899,5201.1001,5285.1899,5285.1899,27269500,,2025-05-02 00:00:00+00:00
2025-05-05,5270.3398,5289.3501,5262.2798,5283.0498,5283.0498,17228000,,2025-05-05 00:00:00+00:00
2025-05-06,5283.9902,5292.9399,5210.5898,5263.3799,5263.3799,22549600,,2025-05-06 00:00:00+00:00
2025-05-07,5261.3398,5264.02,5223.6602,5230.1899,5230.1899,21218400,,2025-05-07 00:00:00+00:00
2025-05-08,5240.23,5304.7798,5240.23,5288.9399,5288.9399,24510100,,2025-05-08 00:00:00+00:00
2025-05-09,5286.04,5323.6099,5286.04,5309.7402,5309.7402,23175200,,2025-05-09 00:00:00+00:00
2025-05-12,5319.2798,5421.6099,5319.2798,5392.3599,5392.3599,37021900,,2025-05-12 00:00:00+00:00
2025-05-13,5390.6201,5416.7002,5384.6802,5416.21,5416.21,23746200,,2025-05-13 00:00:00+00:00
2025-05-14,5412.8799,5421.2002,5374.8101,5403.4399,5403.4399,27932200,,2025-05-14 00:00:00+00:00
2025-05-15,5392.3198,5412.0801,5363.52,5412.0801,5412.0801,25694700,,2025-05-15 00:00:00+00:00
2025-05-16,5422.4199,5450.9502,5407.5298,5427.5298,5427.5298,26843900,,2025-05-16 00:00:00+00:00
2025-05-19,5409.04,5427.23,5382.3301,5427.23,5427.23,20997600,,2025-05-19 00:00:00+00:00
2025-05-20,5430.8599,5467.2798,5423.1201,5454.6499,5454.6499,24317400,,2025-05-20 00:00:00+00:00
2025-05-21,5452.27,5461.0601,5415.8901,5454.46,5454.46,21848800,,2025-05-21 00:00:00+00:00
2025-05-22,5448.3198,5448.3198,5385.1602,5424.48,5424.48,22219000,,2025-05-22 00:00:00+00:00
2025-05-23,5426.6899,5441.8701,5252.9399,5326.3101,5326.3101,36690500,,2025-05-23 00:00:00+00:00
2025-05-26,5364.8301,5412.5698,5364.8301,5395.3301,5395.3301,16292800,,2025-05-26 00:00:00+00:00
2025-05-27,5391.1299,5436.2798,5388.4702,5415.4502,5415.4502,19363300,,2025-05-27 00:00:00+00:00
2025-05-28,5413.21,5427.9702,5377.6401,5378.3901,5378.3901,22227900,,2025-05-28 00:00:00+00:00
2025-05-29,5402.57,5437.67,5364.98,5371.1,5371.1,175025530,,2025-05-29 00:00:00+00:00
2025-05-30,5370.2002,5402.23,5358.75,5366.5898,5366.5898,44251600,,2025-05-30 00:00:00+00:00
2025-06-02,5337.3999,5364.23,5308.0498,5355.5601,5355.5601,20978600,,2025-06-02 00:00:00+00:00
2025-06-03,5363.9902,5376.9502,5326.2202,5375.7002,5375.7002,23600300,,2025-06-03 00:00:00+00:00
2025-06-04,5385.4199,5424.0898,5385.4199,5405.1499,5405.1499,21120200,,2025-06-04 00:00:00+00:00
2025-06-05,5406.6899,5432.3799,5382.1001,5410.5498,5410.5498,21911300,,2025-06-05 00:00:00+00:00
2025-06-06,5407.1401,5435.4199,5395.5801,5430.1699,5430.1699,19929000,,2025-06-06 00:00:00+00:00
2025-06-09,5424.96,5427.5,5395.81,5421.52,5421.52,157801910,,2025-06-09 00:00:00+00:00
2025-06-10,5414.8398,5428.1802,5396.1699,5415.3799,5415.3799,25739900,,2025-06-10 00:00:00+00:00
2025-06-11,5418.2998,5430.1499,5393.1499,5393.1499,5393.1499,21853500,,2025-06-11 00:00:00+00:00
2025-06-12,5377.3398,5381.6001,5327.7402,5360.8198,5360.8198,22226600,,2025-06-12 00:00:00+00:00
2025-06-13,5329.27,5329.27,5269.1099,5290.4702,5290.4702,31376400,,2025-06-13 00:00:00+00:00
2025-06-16,5295.9199,5344.1201,5295.9199,5339.5698,5339.5698,24113300,,2025-06-16 00:00:00+00:00
2025-06-17,5311.0898,5311.0898,5265.2998,5288.6802,5288.6802,23696600,,2025-06-17 00:00:00+00:00
2025-06-18,5288.6299,5300.25,5253.5601,5266.9102,5266.9102,19683100,,2025-06-18 00:00:00+00:00
2025-06-19,5248.4199,5248.4199,5196.8398,5197.0298,5197.0298,19404400,,2025-06-19 00:00:00+00:00
2025-06-20,5208.1899,5275.3799,5208.1899,5233.5801,5233.5801,47186700,,2025-06-20 00:00:00+00:00
2025-06-23,5224.3398,5249.1802,5189.5898,5221.8999,5221.8999,22244300,,2025-06-23 00:00:00+00:00
2025-06-24,5261.9199,5323.0801,5261.9199,5297.0698,5297.0698,25662900,,2025-06-24 00:00:00+00:00
2025-06-25,5302.9399,5316.2598,5252.0098,5252.0098,5252.0098,20614100,,2025-06-25 00:00:00+00:00
2025-06-26,5261.1602,5273.8101,5222.7598,5244.0298,5244.0298,19248100,,2025-06-26 00:00:00+00:00
2025-06-27,5268.8198,5325.6401,5268.8198,5325.6401,5325.6401,19945700,,2025-06-27 00:00:00+00:00
2025-06-30,5337.7402,5341.77,5296.46,5303.2402,5303.2402,22053900,,2025-06-30 00:00:00+00:00
2025-07-01,5308.0098,5314.3901,5265.9399,5282.4302,5282.4302,19996900,,2025-07-01 00:00:00+00:00
