date,open,high,low,close,adjusted_close,volume,warning,timestamp
2025-02-03,22796.7109,22796.7109,22502.1992,22694.7109,22694.7109,3428900,,2025-02-03 00:00:00+00:00
2025-02-04,22836.2695,22934.3105,22720.6191,22793.9609,22793.9609,2990000,,2025-02-04 00:00:00+00:00
2025-02-05,22916.3809,23249.3301,22916.3809,23161.5801,23161.5801,2482200,,2025-02-05 00:00:00+00:00
2025-02-06,23226.5,23348.4199,23216.6504,23316.5996,23316.5996,2400700,,2025-02-06 00:00:00+00:00
2025-02-07,23289.9707,23478.2695,23254.1699,23478.2695,23478.2695,2672200,,2025-02-07 00:00:00+00:00
2025-02-10,23421.7695,23448.1602,23163.8496,23252.1406,23252.1406,2706000,,2025-02-10 00:00:00+00:00
2025-02-11,23321.9199,23485.5098,23289.7598,23384.0508,23384.0508,2956500,,2025-02-11 00:00:00+00:00
2025-02-12,23449.3105,23528.6094,23289.75,23289.75,23289.75,3159400,,2025-02-12 00:00:00+00:00
2025-02-13,23263.2793,23413.0996,23206.4492,23399.4102,23399.4102,3604700,,2025-02-13 00:00:00+00:00
2025-02-14,23198.3906,23276.2402,23142.9492,23152.6094,23152.6094,3818900,,2025-02-14 00:00:00+00:00
2025-02-17,23258.1699,23510.6797,23242.8398,23505.3301,23505.3301,3408200,,2025-02-17 00:00:00+00:00
2025-02-18,23550.5,23666.1094,23454.0898,23666.1094,23666.1094,3038600,,2025-02-18 00:00:00+00:00
2025-02-19,23589.4395,23683.4609,23550.9902,23604.0801,23604.0801,3534600,,2025-02-19 00:00:00+00:00
2025-02-20,23530.9707,23576.7109,23400.75,23487.4609,23487.4609,3563200,,2025-02-20 00:00:00+00:00
2025-02-21,23526.1309,23732.5801,23488.4199,23730.25,23730.25,3518400,,2025-02-21 00:00:00+00:00
2025-02-24,23573.8008,23605.2207,23461.4297,23565.3105,23565.3105,3211200,,2025-02-24 00:00:00+00:00
2025-02-25,23376.4199,23376.4199,23209.5293,23285.7207,23285.7207,3717900,,2025-02-25 00:00:00+00:00
2025-02-26,23221.8398,23431.2402,23156.0195,23402.5508,23402.5508,3362900,,2025-02-26 00:00:00+00:00
2025-02-27,23446.4609,23487.7305,23053.1797,23053.1797,23053.1797,5093000,,2025-02-27 00:00:00+00:00
2025-03-03,22734.0508,22775.0195,22611.0996,22756.25,22756.25,3324900,,2025-03-03 00:00:00+00:00
2025-03-04,22508.8008,22700.9395,22359.5,22596.8809,22596.8809,3100900,,2025-03-04 00:00:00+00:00
2025-03-05,22778.8594,22948.3008,22757.2207,22871.9004,22871.9004,3075000,,2025-03-05 00:00:00+00:00
2025-03-06,22930.1094,22979.9707,22715.4297,22715.4297,22715.4297,2851500,,2025-03-06 00:00:00+00:00
2025-03-07,22696.2305,22747.1094,22542.0801,22576.0703,22576.0703,2987500,,2025-03-07 00:00:00+00:00
2025-03-10,22548.9805,22641.25,22407.5703,22459.1504,22459.1504,3078100,,2025-03-10 00:00:00+00:00
2025-03-11,22126.0605,22140.3906,21769.5703,22071.0898,22071.0898,3604700,,2025-03-11 00:00:00+00:00
2025-03-12,22171.0996,22391.4707,22153.6094,22278.3594,22278.3594,3159800,,2025-03-12 00:00:00+00:00
2025-03-13,22403.3398,22552.4297,21961.6797,21961.6797,21961.6797,3666300,,2025-03-13 00:00:00+00:00
2025-03-14,21986.8105,22074.0293,21895.9004,21968.0508,21968.0508,3373300,,2025-03-14 00:00:00+00:00
2025-03-17,22137.5293,22306.8301,22110.0801,22118.6309,22118.6309,2961500,,2025-03-17 00:00:00+00:00
2025-03-18,22204.6191,22327.0996,22186.4199,22271.6699,22271.6699,2652000,,2025-03-18 00:00:00+00:00
2025-03-19,22245.4199,22247.6602,21942.6895,21960.8301,21960.8301,2916300,,2025-03-19 00:00:00+00:00
2025-03-20,22171.0,22377.2598,22171.0,22377.2598,22377.2598,2626000,,2025-03-20 00:00:00+00:00
2025-03-21,22362.3809,22366.9492,22200.2305,22209.0996,22209.0996,3597700,,2025-03-21 00:00:00+00:00
2025-03-24,22348.3809,22380.7305,22106.6406,22106.6406,22106.6406,2651400,,2025-03-24 00:00:00+00:00
2025-03-25,22269.3691,22414.0195,22228.6797,22273.1895,22273.1895,2553000,,2025-03-25 00:00:00+00:00
2025-03-26,22327.6094,22398.1191,22235.8906,22260.2891,22260.2891,2295800,,2025-03-26 00:00:00+00:00
2025-03-27,22093.1992,22093.1992,21919.4004,21951.7598,21951.7598,2674800,,2025-03-27 00:00:00+00:00
2025-03-28,21836.1602,21836.1602,21525.0508,21602.8906,21602.8906,3242700,,2025-03-28 00:00:00+00:00
2025-03-31,21254.6309,21254.6309,20695.9004,20695.9004,20695.9004,4034100,,2025-03-31 00:00:00+00:00
2025-04-01,20884.5293,21315.5195,20884.5293,21280.1699,21280.1699,2753300,,2025-04-01 00:00:00+00:00
2025-04-02,21313.7695,21390.5195,21235.9902,21298.2207,21298.2207,2300200,,2025-04-02 00:00:00+00:00
2025-04-07,20153.5703,20153.5703,19212.0195,19232.3496,19232.3496,1558900,,2025-04-07 00:00:00+00:00
2025-04-08,19064.4707,19064.4707,18180.4805,18459.9492,18459.9492,5839900,,2025-04-08 00:00:00+00:00
2025-04-09,18337.4395,18371.5195,17306.9707,17391.7598,17391.7598,6177900,,2025-04-09 00:00:00+00:00
2025-04-10,18256.4707,19024.4707,18256.4707,19000.0293,19000.0293,2659600,,2025-04-10 00:00:00+00:00
2025-04-11,18772.5,19528.7695,18418.1992,19528.7695,19528.7695,4766500,,2025-04-11 00:00:00+00:00
2025-04-14,19686.6797,20023.6309,19508.9297,19513.0898,19513.0898,4176300,,2025-04-14 00:00:00+00:00
2025-04-15,19609.9004,19895.4297,19576.1504,19857.6699,19857.6699,2866400,,2025-04-15 00:00:00+00:00
2025-04-16,19737.0898,19737.0898,19453.1406,19468.0,19468.0,2805300,,2025-04-16 00:00:00+00:00
2025-04-17,19389.5195,19478.0,19196.4707,19338.7305,19338.7305,2300500,,2025-04-17 00:00:00+00:00
2025-04-18,19423.9805,19499.2793,19376.3496,19395.0293,19395.0293,2123700,,2025-04-18 00:00:00+00:00
2025-04-21,19321.1406,19359.9609,19080.5996,19106.1992,19106.1992,2325500,,2025-04-21 00:00:00+00:00
2025-04-22,18990.8594,19059.6504,18793.4297,18793.4297,18793.4297,2526000,,2025-04-22 00:00:00+00:00
2025-04-23,19163.6094,19639.1406,19163.6094,19639.1406,19639.1406,2694600,,2025-04-23 00:00:00+00:00
2025-04-24,19752.5898,19752.5898,19433.3691,19478.8105,19478.8105,2418200,,2025-04-24 00:00:00+00:00
2025-04-25,19861.2402,20012.2695,19861.2402,19872.7305,19872.7305,2674500,,2025-04-25 00:00:00+00:00
2025-04-28,19972.0703,20073.75,19972.0703,20034.4102,20034.4102,2131000,,2025-04-28 00:00:00+00:00
2025-04-29,20018.3203,20232.6309,20007.3008,20232.6309,20232.6309,2538500,,2025-04-29 00:00:00+00:00
2025-04-30,20215.3906,20331.8906,20185.3105,20235.0293,20235.0293,2806300,,2025-04-30 00:00:00+00:00
2025-05-02,20534.0801,20787.6406,20534.0801,20787.6406,20787.6406,2779300,,2025-05-02 00:00:00+00:00
2025-05-05,20839.0391,20885.5391,20320.8008,20532.9902,20532.9902,3929000,,2025-05-05 00:00:00+00:00
2025-05-06,20353.8809,20623.8496,20349.5605,20522.5898,20522.5898,3091500,,2025-05-06 00:00:00+00:00
2025-05-07,20575.1504,20685.2793,20418.0293,20546.4902,20546.4902,2681400,,2025-05-07 00:00:00+00:00
2025-05-08,20559.6504,20747.2793,20543.4004,20543.4004,20543.4004,2348100,,2025-05-08 00:00:00+00:00
2025-05-09,20690.8008,20915.0391,20643.5605,20915.0391,20915.0391,2744700,,2025-05-09 00:00:00+00:00
2025-05-12,20996.9492,21176.1309,20996.9492,21129.5391,21129.5391,2687300,,2025-05-12 00:00:00+00:00
2025-05-13,21474.0195,21626.2793,21330.1406,21330.1406,21330.1406,3601900,,2025-05-13 00:00:00+00:00
2025-05-14,21552.4199,21782.8691,21552.4199,21782.8691,21782.8691,3656500,,2025-05-14 00:00:00+00:00
2025-05-15,21776.6504,21821.0098,21674.3203,21730.25,21730.25,3543000,,2025-05-15 00:00:00+00:00
2025-05-16,21731.8809,21854.5,21697.8496,21843.6895,21843.6895,3714600,,2025-05-16 00:00:00+00:00
2025-05-19,21786.3301,21786.3301,21496.6895,21523.8301,21523.8301,3401200,,2025-05-19 00:00:00+00:00
2025-05-20,21631.6094,21746.5605,21517.0996,21526.0293,21526.0293,2908900,,2025-05-20 00:00:00+00:00
2025-05-21,21603.5801,21879.2402,21603.5801,21803.9102,21803.9102,3078500,,2025-05-21 00:00:00+00:00
2025-05-22,21733.8203,21733.8203,21585.3105,21670.9609,21670.9609,3137400,,2025-05-22 00:00:00+00:00
2025-05-23,21766.2402,21798.8809,21559.7793,21652.2402,21652.2402,3065000,,2025-05-23 00:00:00+00:00
2025-05-26,21577.6406,21688.4492,21536.5703,21536.5703,21536.5703,3105400,,2025-05-26 00:00:00+00:00
2025-05-27,21491.6504,21558.4707,21310.0,21336.5391,21336.5391,3512400,,2025-05-27 00:00:00+00:00
2025-05-28,21539.1504,21634.3691,21305.7305,21357.7207,21357.7207,3647300,,2025-05-28 00:00:00+00:00
2025-05-29,21531.2891,21605.2598,21347.3008,21347.3008,21347.3008,5081700,,2025-05-29 00:00:00+00:00
2025-06-02,21253.9707,21256.0996,20940.9805,21002.7109,21002.7109,3805400,,2025-06-02 00:00:00+00:00
2025-06-03,21126.6992,21303.2109,21110.6309,21126.9297,21126.9297,3739600,,2025-06-03 00:00:00+00:00
2025-06-04,21341.4395,21618.0898,21341.4395,21618.0898,21618.0898,4061200,,2025-06-04 00:00:00+00:00
2025-06-05,21695.9297,21738.9297,21626.7402,21674.4297,21674.4297,3521900,,2025-06-05 00:00:00+00:00
2025-06-06,21637.7695,21702.4609,21606.6992,21660.6602,21660.6602,2964300,,2025-06-06 00:00:00+00:00
2025-06-09,21773.4492,21866.2695,21717.5195,21790.2891,21790.2891,3035200,,2025-06-09 00:00:00+00:00
2025-06-10,21921.2402,22294.8594,21921.2402,22242.1406,22242.1406,3534000,,2025-06-10 00:00:00+00:00
2025-06-11,22376.3691,22470.0996,22294.5996,22470.0996,22470.0996,3669800,,2025-06-11 00:00:00+00:00
2025-06-12,22362.6699,22390.1699,22253.6406,22287.8203,22287.8203,3060300,,2025-06-12 00:00:00+00:00
2025-06-13,22215.5,22228.0098,21984.3594,22072.9492,22072.9492,3285000,,2025-06-13 00:00:00+00:00
2025-06-16,22058.5703,22094.5996,21936.3809,22049.9004,22049.9004,2521300,,2025-06-16 00:00:00+00:00
2025-06-17,22172.5898,22331.6895,22118.4609,22211.5898,22211.5898,3044000,,2025-06-17 00:00:00+00:00
